value,mimic_probability,nu_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
4.9995,0.2704988553013401,,,,,
6.999499999999999,,,0.016414822809857888,,0.02668570788530466,0.03904413685035257
9.0,,,0.014503507825148408,,0.011648745519713262,0.015637242099764952
9.5,,,,0.25,,
10.5,,,0.006453498830724951,,,
11.0,,,,,0.012040770609318996,
11.3,,,,,,0.017857142857142856
11.999500000000001,,0.2686756140795138,,,,
12.0,,,0.014391077531930203,,,
13.0,,,,,0.011788754480286738,
13.3,,,,,,0.0181509532515017
13.5,,,0.006880733944954129,,,
23.6995,,,,0.15,,
25.4995,,,,,,0.187581613998433
26.4995,,,0.18964741860046772,,,
30.4995,,,,,0.18842405913978494,
34.9995,0.16130772708050803,,,,,
37.9995,,0.14813876930868575,,,,
42.5,,,,0.15,,
58.0,,,,,,0.17742883259336642
59.5,,,0.18944504407267493,,,
60.3,,,,0.2,,
85.0,0.13717427125712703,,,,,
87.0,,,,,0.1880880376344086,
121.5,,0.14434033932641174,,,,
124.0,,,0.18577981651376146,,,
129.5,,,,,,0.18124836772003133
143.9,,,,0.1,,
210.0,0.14140309433191886,,,,,
285.5,,,,,0.18649193548387097,
330.5,,,0.18807339449541285,,,
339.7,,0.14585971131932135,,,,
373.5,,,,,,0.18111778532253853
384.9,,,,0.15,,
575.7995000000001,,,0.03768663428674222,,,
640.0,0.1433425200869096,,,,,
671.9995,,,,,,0.03646513449986942
807.3,,,0.03770912034538586,,,
969.0,,,,,,0.03639984330112301
1049.2,,0.1463661686502912,,,,
1144.9995,0.029295536404333813,,,,,
1268.4,,,0.037641662169454936,,,
1377.0,,,,,0.18721998207885304,
1570.0,,,,,,0.0363345521023766
1575.0,0.02963092582061041,,,,,
1839.9995,,0.02962775386173715,,,,
2275.0,0.02898931128512475,,,,,
2280.8,,,0.03768663428674222,,,
2455.0,,0.02962775386173715,,,,
2819.9995,,,,,0.03755040322580645,
2945.5,,,,,,0.0363671977017498
3389.0,,0.028614839199797418,,,,
3540.0,0.029149714918996164,,,,,
4191.3,,,,,0.03749439964157706,
4796.0,,0.029374525196252214,,,,
6426.4,,,,,0.03752240143369175,
6490.4,,,0.03768663428674222,,,
6956.0,,,,,,0.0363671977017498
7185.0,0.029208043513131225,,,,,
7812.0,,0.029374525196252214,,,,
8900.1,,,,,0.0750448028673835,
