value,sunnybrook_probability,ucmc_probability
0.02,,0.021903403648438666
0.03,,0.026288341599438048
0.04,,0.031333148853743165
0.05,0.007548992625128485,
0.07,0.008829625302605637,
0.09,,0.06087826475659337
0.1,0.0195464987614934,
0.13,,0.08710274803635668
0.17,0.025469424894825232,0.11417867557844995
0.2,0.041763790672725336,0.13648651525149536
0.32,,0.23221013644394303
0.4,0.15256379291944933,
0.44,,0.326167010792056
0.51,0.23902896588911293,
0.56,,0.419783307435237
0.61,0.3380729848289962,
0.68,,0.5135698929308841
0.7,0.4344602526441133,
0.8,0.5286990906384628,0.5991400412950467
0.9,0.6668726163662609,
0.92,,0.6800272462163945
1,0.7355970949858737,
1.08,,0.7607015900721599
1.16,0.8036082387368918,
1.3,,0.8399284786819643
1.4,0.8954852081308942,
1.46,0.9164415261996102,
1.59,0.9378275302324798,
1.7,0.9583962884119593,
1.72,,0.9199003810213074
1.86,,0.935992677579344
2,0.9801024506141982,
2.07,,0.9519998297111475
2.41,,0.9680282679495094
3.16,,0.9839928478681964
36.63,1.0,
49.36,,1.0
