value,sunnybrook_probability,ucmc_probability
0.01,0.38662024265800843,
0.04,,0.5768055191686315
0.1,0.639305592852086,
0.15,,0.7649550257619422
0.2,0.7910126211459122,
0.5,0.9443491687620535,0.9425377696271068
0.57,,0.9552659156405554
0.6,0.9713918658301394,
0.68,,0.9661819928390534
0.7,0.9799666772453189,
0.87,,0.9771635665007423
0.9,0.9888802089690697,
0.93,0.9912268388545761,
1.02,0.9934117374215755,
1.2,0.9959933354490638,
1.22,,0.9883634617064012
1.37,,0.9907649986900707
1.5,0.9979951419573762,
1.64,,0.9930573749017553
2.1,,0.9953934154222339
3.294,,0.9976639594795215
22.14,1.0,
44.5,,1.0
