value,sunnybrook_probability,ucmc_probability
0.2,0.004802003458820115,0.002593130992760965
0.4,0.006221448128768478,0.004587169434532987
0.7,,0.006807335947021423
0.8,0.008693791098089284,
1.1,0.010191957136215027,0.00922132652012393
1.4,,0.011262352612953908
2.7,0.019914046106121325,
2.8,,0.023255950545497263
3.6,0.030551270981089652,0.03476205159831432
4.1,,0.045351893455501224
4.2,0.0417493856043218,
4.5,0.0495132805408158,0.05584776001057222
6.4,,0.13992922485059395
6.5,0.146775990966723,
7.7,,0.2216143194866599
7.8,0.24808301168274305,
8.8,0.3366912916946497,0.3006622322070981
9.9,0.43430578823459953,0.3820477805676696
11,0.5252634090780498,0.4619649648326799
12.2,0.6213748194943628,
12.6,,0.5750143165499317
13.8,0.7173927482859652,
14.5,,0.6804722258931325
16,0.8123676189492174,
17.1,,0.7858185395650705
19.8,0.9041518141585301,
21.1,0.924186402359673,
21.7,,0.8926743315272455
22.8,0.9426170426842019,
23.1,,0.914350322305919
25.2,,0.9364110244776295
25.5,0.9617979960491714,
28.1,,0.9573469597521401
30.7,0.9808977680032079,
33.6,,0.9786353024095855
495.9,,1.0
497.8,1.0,
