value,sunnybrook_probability,ucmc_probability
0.03,,0.005704246735782762
0.08,0.0013429031678507154,0.008849173643343599
0.13,0.00202805784532557,0.011668763284605041
0.19,,0.014206393961740338
0.21,0.0026827612038015426,
0.3,0.0033526902217769564,
0.62,,0.02782718084414176
1,0.006787599004850895,
1.12,,0.041881750748275715
1.5,0.010131153830928186,
1.57,,0.055697739990456775
1.8,0.01336812904050939,
2,0.016303636192001657,0.06947035093046458
3.54,,0.13440766928382422
4.05,0.10079082075440098,
4.69,,0.1991931635795775
5.07,0.18508616200710734,
5.68,,0.26371838806229125
5.9,0.27220738566291,
6.61,,0.3284388149047846
6.7,0.35498016096567225,
7.5,0.4373905655723478,0.3922049190994664
8.64,0.5501457095614096,
9.31,,0.5143582180193467
10,0.6625445731181846,
11.48,,0.6358174641044549
11.87,0.7751109189294534,
14.34,,0.7567995488656574
14.89,0.887494556826729,
15.8,0.9100133072264025,
17.1,0.9326629982977712,
18.97,0.955014266442951,
19.07,,0.8783021732529389
20.69,,0.902680779074307
22.36,0.9775269265788248,
22.72,,0.9270593848956752
25.89,,0.9513729232637834
31.25,,0.9756647724808051
49.96,,1.0
50,1.0,
