,Non-Hispanic,Non-Hispanic,Non-Hispanic,Hispanic,Hispanic,Hispanic,Unknown,Unknown,Unknown,Total
,Female,Male,Unknown,Female,Male,Unknown,Female,Male,Unknown,Unnamed: 10_level_1
American Indian or Alaska Native,43,35,0,0,0,0,0,0,0,78
Asian,229,156,0,0,0,0,0,0,0,385
Native Hawaiian or Other Pacific Islander,23,10,0,0,0,0,0,0,0,33
Black or African American,1443,1157,0,15,15,0,35,26,0,2691
White,3699,3853,0,228,195,0,130,143,0,8248
Other,46,34,0,45,53,0,0,0,0,178
Unknown,70,73,0,26,26,0,97,126,0,418
Total,5553,5318,0,314,289,0,262,295,0,14093
