comorbidity,n_patients__Emory,n_patients__JHU,n_patients__NU,n_patients__OHSU,n_patients__RUSH,n_patients__Sunnybrook,n_patients__UCMC,n_patients__UMN,n_patients__UPenn,n_patients__ALL,prevalence_percent__Emory,prevalence_percent__JHU,prevalence_percent__NU,prevalence_percent__OHSU,prevalence_percent__RUSH,prevalence_percent__Sunnybrook,prevalence_percent__UCMC,prevalence_percent__UMN,prevalence_percent__UPenn,prevalence_percent__ALL,per_1000_hospitalizations__Emory,per_1000_hospitalizations__JHU,per_1000_hospitalizations__NU,per_1000_hospitalizations__OHSU,per_1000_hospitalizations__RUSH,per_1000_hospitalizations__Sunnybrook,per_1000_hospitalizations__UCMC,per_1000_hospitalizations__UMN,per_1000_hospitalizations__UPenn,per_1000_hospitalizations__ALL
congestive_heart_failure,1193,775,181,182,16,8,205,542,426,3528,20.35,35.65,38.76,5.47,27.12,33.33,40.2,23.87,19.25,20.867096,203.5,356.5,387.6,54.7,271.2,333.3,402.0,238.7,192.5,208.670965
renal_disease,1114,691,178,238,22,4,177,481,597,3502,19.01,31.78,38.12,7.15,37.29,16.67,34.71,21.18,26.98,20.713314,190.1,317.8,381.2,71.5,372.9,166.7,347.1,211.8,269.8,207.13314
chronic_pulmonary_disease,874,541,138,455,8,5,148,346,418,2933,14.91,24.89,29.55,13.68,13.56,20.83,29.02,15.24,18.89,17.347844,149.1,248.9,295.5,136.8,135.6,208.3,290.2,152.4,188.9,173.478441
diabetes_with_complications,704,426,108,128,17,0,93,224,298,1998,12.01,19.6,23.13,3.85,28.81,0.0,18.24,9.86,13.47,11.81759,120.1,196.0,231.3,38.5,288.1,0.0,182.4,98.6,134.7,118.175903
diabetes_uncomplicated,701,289,68,358,10,8,69,225,301,2029,11.96,13.29,14.56,10.76,16.95,33.33,13.53,9.91,13.6,12.000946,119.6,132.9,145.6,107.6,169.5,333.3,135.3,99.1,136.0,120.009464
cancer,493,457,74,356,6,0,54,150,314,1904,8.41,21.02,15.85,10.7,10.17,0.0,10.59,6.61,14.19,11.261608,84.1,210.2,158.5,107.0,101.7,0.0,105.9,66.1,141.9,112.616076
peripheral_vascular_disease,406,231,105,63,8,3,33,208,247,1304,6.93,10.63,22.48,1.89,13.56,12.5,6.47,9.16,11.16,7.712782,69.3,106.3,224.8,18.9,135.6,125.0,64.7,91.6,111.6,77.127817
myocardial_infarction,344,341,74,112,8,2,51,266,167,1365,5.87,15.69,15.85,3.37,13.56,8.33,10.0,11.71,7.55,8.073579,58.7,156.9,158.5,33.7,135.6,83.3,100.0,117.1,75.5,80.73579
metastatic_solid_tumor,260,277,68,186,9,16,70,79,253,1218,4.44,12.74,14.56,5.59,15.25,66.67,13.73,3.48,11.43,7.204117,44.4,127.4,145.6,55.9,152.5,666.7,137.3,34.8,114.3,72.041166
cerebrovascular_disease,243,179,93,41,9,7,41,91,141,845,4.15,8.23,19.91,1.23,15.25,29.17,8.04,4.01,6.37,4.99793,41.5,82.3,199.1,12.3,152.5,291.7,80.4,40.1,63.7,49.979299
connective_tissue_disease,217,89,27,43,1,0,17,51,81,526,3.7,4.09,5.78,1.29,1.69,0.0,3.33,2.25,3.66,3.111137,37.0,40.9,57.8,12.9,16.9,0.0,33.3,22.5,36.6,31.111374
mild_liver_disease,164,124,48,88,7,1,35,76,114,657,2.8,5.7,10.28,2.65,11.86,4.17,6.86,3.35,5.15,3.885964,28.0,57.0,102.8,26.5,118.6,41.7,68.6,33.5,51.5,38.859644
dementia,134,43,52,31,3,1,55,109,243,671,2.29,1.98,11.13,0.93,5.08,4.17,10.78,4.8,10.98,3.96877,22.9,19.8,111.3,9.3,50.8,41.7,107.8,48.0,109.8,39.687703
hemiplegia,51,67,23,17,3,0,22,35,40,258,0.87,3.08,4.93,0.51,5.08,0.0,4.31,1.54,1.81,1.525995,8.7,30.8,49.3,5.1,50.8,0.0,43.1,15.4,18.1,15.259951
moderate_severe_liver_disease,38,96,22,25,8,1,29,44,63,326,0.65,4.42,4.71,0.75,13.56,4.17,5.69,1.94,2.85,1.928195,6.5,44.2,47.1,7.5,135.6,41.7,56.9,19.4,28.5,19.281954
aids,34,0,2,14,1,4,8,1,5,69,0.58,0.0,0.43,0.42,1.69,16.67,1.57,0.04,0.23,0.408115,5.8,0.0,4.3,4.2,16.9,166.7,15.7,0.4,2.3,4.08115
peptic_ulcer_disease,31,36,12,22,3,2,21,13,14,154,0.53,1.66,2.57,0.66,5.08,8.33,4.12,0.57,0.63,0.910865,5.3,16.6,25.7,6.6,50.8,83.3,41.2,5.7,6.3,9.108653
