Metric,Value__Emory,Value__JHU,Value__NU,Value__OHSU,Value__RUSH,Value__Sunnybrook,Value__UCMC,Value__UMN,Value__UPenn,Value__ALL
Total hospitalizations,5861,2174,467,3327,59,24,510,2271,2213,16906
Total comorbidities across all patients,7001,4662,1273,2359,139,62,1128,2941,3722,23287
Average comorbidities per hospitalization,1.19,2.14,2.73,0.71,2.36,2.58,2.21,1.30,1.68,
Most common comorbidity,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,chronic_pulmonary_disease,renal_disease,metastatic_solid_tumor,congestive_heart_failure,congestive_heart_failure,renal_disease,
Most common: per 1000 hospitalizations,203.5,356.5,387.6,136.8,372.9,666.7,402.0,238.7,269.8,
