value,emory_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability
0.0,,0.00004152164367578655,0.000023659068520964085,,2.254771095638371e-6
8e-8,,0.00004463576695147054,,,
1.11e-6,,0.000045673808043365205,,,
0.8,1.5939049076332105e-6,,,,
1.0,,0.00004671184913525987,0.00006022308350790858,,0.000018038168765106967
1.1,9.563429445799264e-6,0.00004774989022715453,0.00006667555674089879,,0.000022547710956383706
1.2,,0.00004982597241094386,0.000073128029973889,2.632465672647629e-6,0.00002480248205202208
1.3,,0.000051902054594733186,,5.264931345295258e-6,
1.4,0.00001912685889159853,0.00005605421896231184,0.00008818380085086614,,0.00002931202424329882
1.5,0.00002869028833739779,0.00007370091752452113,0.00010108874731684655,0.00001579479403588577,0.00007440744615606624
1.6,0.000051004957044262736,0.00008719545171915176,0.0001225969914268139,0.000023692191053828658,0.00009920992820808832
1.7,0.00008766476991982659,0.00010172802700567704,0.00015701018200276165,0.00003422205374441917,0.0001465601212164941
1.8,0.00014345144168698896,0.00012248884884357033,0.00019357419698970616,0.0000552817791256002,0.00019841985641617664
1.9,0.00023749183123734837,0.00015051595832472623,0.0002279873875656539,0.0001105635582512004,0.00030439409791118007
2.0,0.00033153222078770783,0.00021695058820598472,0.0003011154175395429,0.0001763752000673911,0.00042840650817129047
2.1,0.0004893288066433957,0.0002989558344656632,0.00040005334044539273,0.0002843062926459439,0.0005884952559616148
2.2,0.0006997242544509795,0.00043701529968765345,0.0005807225909691185,0.0004501516300227445,0.0007756412568995996
2.3,0.001005753996716556,0.0006653843399044794,0.0008646314132206875,0.0006844410748883834,0.0010371947039936507
2.4,0.0014345144168698895,0.001055687790456873,0.0012474781583781064,0.0010793109257855277,0.0014159962480608968
2.5,0.002102360573168205,0.0016027354458853608,0.0017980892075932706,0.0018822129559430546,0.0019864533352574047
2.6,0.0031734646710977225,0.0029148193860402158,0.002783166787829775,0.002935199225002106,0.0029514953641906275
2.7,0.004949074738201119,0.004865298597710289,0.004488770545750186,0.004814779715272513,0.004153288358165879
2.8,0.007687403369514975,0.008109177009881114,0.007145038693331154,0.007868439895543762,0.00676656805801075
2.9,0.012096144344028436,0.013133295894651285,0.011483251530311569,0.01279904810041277,0.010577131209639597
3.0,0.019080635649277165,0.02092690841259642,0.018006701968864666,0.020367386909274702,0.01613965150257946
3.1,0.029837899870893702,0.03303254362627199,0.028212363799044175,0.03152904136130065,0.024964825570908043
3.2,0.0454693253000526,0.05053703055889171,0.044137067738064,0.04796615702131244,0.0380605360943757
3.3,0.06820159709271745,0.07562959787326141,0.06727778757597787,0.07079489933451268,0.05726216674483207
3.4,0.1000717257208435,0.11000848079572077,0.10041984092502657,0.10237132507792099,0.08404659258992027
3.5,0.14189260268732368,0.15513005097819801,0.14494620788148097,0.14461713419257013,0.12006205130055196
3.6,0.19464129170053715,0.2111801177761423,0.20359488792053995,0.1969400219021144,0.1662623110501822
