value,ucmc_probability
0.0045000000000000005,0.02013889987502175
0.015,0.006011611902991568
0.025,0.005315530524750439
0.055,0.02967837876318995
0.1,0.025897391276834728
0.14500000000000002,0.0330322254038063
0.185,0.021705082976064292
0.2595,0.09458796728417522
0.38,0.09408172628181803
0.5,0.09588520985271551
0.6200000000000001,0.09523658856844537
0.74,0.08696271218617013
0.8595,0.08258056350951574
0.9950000000000001,0.07538244925724953
1.175,0.07762889370520953
1.47,0.07675879198240812
1.7295,0.01643701254528484
1.895,0.015867491417633005
2.135,0.015440350571894133
2.605,0.015551090791159766
25.43,0.015820031323662023
