value,sunnybrook_probability,ucmc_probability
0.01,,0.434642752704942
0.03,0.6273383217530732,0.647951392273451
0.05,,0.780566656919128
0.1,0.9591573133796544,
0.2,0.9847229645465883,0.9717483835331578
0.23,,0.9790265457971862
0.24,0.9966595403527525,
0.25,0.9974167112061286,
0.26,,0.9831692497644344
0.296,0.9979957242116515,
0.3,0.9988865134509175,
0.32,,0.98934269097053
0.4,0.9994655264564404,
0.454,,0.9943464275270494
0.53,,0.9955161321766254
0.62,,0.996637099132469
0.802,,0.9977418201904019
1.188,,0.9988627871462455
15.6,1.0,
31.78,,1.0
