value,ucmc_probability
0.0995,0.002736831656492176
0.35,0.0029519021925377615
0.65,0.0021199809981636286
1.0,0.0025099440580265034
1.35,0.0021767028977800465
2.15,0.012613532427200987
3.2,0.012975134537255652
3.8499999999999996,0.011651623546205896
4.3,0.012010862243776545
5.3995,0.09004128881609579
6.949999999999999,0.0887957704370186
8.149999999999999,0.08443291099152243
9.3,0.09288211062188473
10.45,0.08161335989808965
11.6995,0.10096734472970834
13.3,0.099972348073937
15.45,0.10025359415953507
18.85,0.09823996672315223
21.6995,0.02106509547004729
23.35,0.01947215545581955
25.75,0.020601866623179876
29.85,0.019968472077463207
264.2,0.01994720136510705
