value,sunnybrook_probability,ucmc_probability
0.07,,0.02375927347147608
0.12,,0.046751087234586854
0.16,,0.06776029675108723
0.2,0.028292224972262525,0.08939306728063444
0.24,,0.11017843438219493
0.3,0.05692583425791585,
0.4,0.09174703422377742,
0.42,,0.21514453824507546
0.6,0.1948450968677989,0.3170727807623433
0.77,0.2786976188444141,
0.79,,0.4209356612944487
0.9,0.39481095843645986,
1,0.4580524024921055,0.5254221028396009
1.15,0.566271229836989,
1.2,,0.6156465848042978
1.36,0.6735512503200478,
1.45,,0.7021137119467895
1.6,0.7873602457967056,
1.78,,0.7885008953696597
2,0.8923359221643765,
2.32,,0.8763750319774879
4,0.9933856789280533,0.9634817088769506
4.3,0.9949645813774857,
4.41,,0.9708365310821182
4.924,0.9960314073568319,
4.96,,0.9780954208237401
5.7,0.9973969446103952,
5.88,,0.9854662317728319
7.55,,0.992677155282681
8.19,,0.9941641084676388
9.08,,0.995619084164748
9.72,0.9986771357856107,
10.312,,0.9970740598618573
12.2,0.9989758470598276,
15.45,0.9992318852948707,
15.686,,0.9985290355589664
22.6,0.9994879235299138,
36.81,0.999743961764957,
48.5,1.0,
49.9,,1.0
