value,sunnybrook_probability,ucmc_probability
0.1,0.002868104344872965,
0.2,,0.002736831656492176
0.3,0.0045369643198268,
0.5,,0.005688733849029937
0.6,0.006863816780930954,
0.8,,0.007808714847193566
0.9,0.00883248784836457,
1.2,0.01043767113111031,0.010318658905220069
1.5,,0.012495361803000116
2.8,0.020986776473584785,0.025108894230201104
3.6,0.031127289707723983,0.03808402876745676
4.1,,0.04973565231366265
4.2,0.043255046377857494,
4.5,0.051527709973892555,0.061746514557439194
6.3,,0.15178780337353498
6.5,0.15234913930337698,
7.6,,0.2405835738105536
7.7,0.245996327977416,
8.7,,0.325016484802076
8.8,0.34332615201748984,
9.9,0.4417862373442574,0.41789859542396074
11,0.5331782098359263,0.4995119553220504
12.2,0.6291947020992082,
12.4,,0.6004793000517588
13.8,0.7243542122131895,
14.2,,0.7004516481256957
15.9,0.8150085963534481,
16.7,,0.8007052422852308
19.6,0.905482563199117,
20.8,0.9247076178549445,
21,,0.898945209008383
22.4,,0.9200103044784304
22.5,0.9433648886719165,
24.3,,0.9394824599342498
25.1,0.9622131895655127,
27.2,,0.9600843265574297
30.1,0.9812710929042939,
32.5,,0.9800527986348929
495.9,,1.0
497.8,1.0,
