value,sunnybrook_probability,ucmc_probability
0.01,,0.4158766622447989
0.05,0.3711026950854324,
0.07,,0.5706959588442747
0.1,0.5558393517703012,
0.18,,0.7555084608664704
0.22,0.7424255768892021,
0.5,0.9218337149903117,0.9302585174879477
0.56,,0.9441874009124147
0.6,0.9582085608596089,
0.67,,0.958666321545281
0.7,0.9707151664611591,
0.85,,0.9722392985407836
0.93,0.9841025189360578,
1,0.9879778051787916,
1.1,0.9912806059538488,
1.17,,0.9858122755362863
1.21,0.9937026598555575,
1.29,,0.9888051250525771
1.47,,0.9915553110945741
1.5,0.9972696846926193,
1.846,,0.9943216747015239
3.09,,0.9971851036981914
20.9,1.0,
37.09,,1.0
