value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
12,,,,,,,0.0024752475247524753,,,,
15,0.025957544993077987,0.008346107988417647,0.004685749210553122,0.007865631654873945,0.01565906838453915,0.004953917050691244,,0.005746061167747915,0.008221225710014948,0.020320366132723113,0.016206275621623693
41,0.09506229810798339,,,,,,,,,,
44,,,,,,,,,,,0.07114669936017777
46,,,,,0.07353815659068384,,,,,0.07643020594965676,
47,,0.05731561914494975,,,,,,,,,
49,,,,,,,,0.043188137164040775,,,
50,,,,,,0.03248847926267281,,,,,
52,,,,,,,,,0.048486547085201795,,
53,,,,0.046609878409012845,,,,,,,
56,,,0.040032596516247326,,,,,,,,
65,,,,,,,0.04455445544554455,,,,
69,0.16278264882325796,,,,,,,,,,
74.5,,,,,,,,,,,0.12593387226543043
78,,,,,0.1296333002973241,,,,,,
80,,0.10556123318003748,,,,,,,,,
81,,,,,,,,,,0.13052631578947368,
83,,,,,,,,0.07998146431881371,,,
86,,,,,,0.06013824884792627,,,,,
87,,,,,,,,,0.08763079222720478,,
87.4,,,,0.08514803874424676,,,,,,,
92,,,0.07568503616176021,,,,,,,,
99,,,,,,,0.08622112211221122,,,,
103,0.23200276880479925,,,,,,,,,,
109.1,,,,,,,,,,,0.18083598329565917
114,,,,,0.1865213082259663,,,,,,
116,,0.15444557996934083,,,,,,,,,
118,,,,,,,,,,0.18553775743707093,
119,,,,,,,,0.11677479147358666,,,
122,,,,,,,,,0.12612107623318386,,
123.4,,,,,,0.08721198156682028,,,,,
125,,,0.11042069878781705,0.12409837191729065,,,,,,,
127.2,,,,,,,0.12706270627062707,,,,
149.8,,,,,,,,,,,0.2356614689092372
150,0.30006922011998155,,,,,,,,,,
155,,0.20281894055527167,,,,,,,,,
156,,,,,0.24360753221010903,,,,,0.23881006864988558,
158,,,,,,,,0.15347544022242818,,,
160,,,,,,,,,0.16545216741405083,,
162,,,,0.16263653225252456,,0.11474654377880185,,,,,
164,,,0.14597127432005705,,,,,,,,
