Metric,Value__Emory,Value__JHU,Value__MIMIC,Value__NU,Value__RUSH,Value__Sunnybrook,Value__UMN,Value__UPenn,Value__ALL
Total hospitalizations,16415,33639,9255,17397,7742,9971,41343,30942,166704
Total comorbidities across all patients,42836,84205,23919,57156,25378,27853,105787,85520,452654
Average comorbidities per hospitalization,2.61,2.50,2.58,3.29,3.28,2.79,2.56,2.76,
Most common comorbidity,renal_disease,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,cerebrovascular_disease,metastatic_solid_tumor,renal_disease,congestive_heart_failure,
Most common: per 1000 hospitalizations,395.6,374.6,362.0,483.2,388.9,585.6,376.4,404.4,
