,Non-Hispanic,Non-Hispanic,Hispanic,Hispanic,Total
,Female,Male,Female,Male,
Asian,2574,2892,0,10,5476
Black or African American,13422,11315,54,47,24838
White,41024,43065,812,934,85835
Other,1877,2162,1601,1933,7573
Total,58897,59434,2467,2924,123722
