value,emory_probability,mimic_probability,nu_probability,rush_probability,upenn_probability
8.16,0.00014243564960830197,,,,
8.3,,0.0001733402669440111,,,
8.5,0.00036626309899277646,,,,
8.68,0.00040695899888086275,,,,
8.8,,0.00028890044490668514,,,
9,0.000590090548377251,0.0004044606228693592,0.0002022423621907904,,0.0005291005291005291
9.1,0.0006918302980974667,,,,
9.2,,0.0005662448720171029,,,
9.3,,0.0006355809787947073,0.00046768546256620275,,
9.36,,,,0.0005117945377564789,
9.4,,,0.00063200738184622,,
9.5,0.0013633126462508902,,0.0009353709251324055,,
9.6,,0.0013058300109782168,,0.001349276508630717,
9.7,,,,0.0025124459126227142,
9.8,0.0021161867941804865,0.0018605188651990524,0.0022246659840986943,0.003489508211975992,0.0010582010582010583
9.9,,0.0024152077194198878,0.0030462755804987803,0.0052109989298841485,
10,0.0033370637908230745,0.002923672502455654,0.004171248720185052,0.008235239380263342,0.001455026455026455
11,,,,0.08314334899734797,
11.4,0.042628955132770374,0.04031894609117698,0.0488541706167128,,
11.5,,,,0.1527474061322291,
11.6,,,,,0.032275132275132276
11.9,0.08033370637908231,,0.08661029160820598,0.2143023309914856,
12,,0.08242907494077541,,,
12.1,,,,,0.0585978835978836
12.3,0.1163699257299827,,0.12418945053278223,,
12.4,,0.11991679667186687,,,
12.5,,,,0.2886055925184944,0.09060846560846561
12.7,0.15818496286499134,0.150863812330271,0.1676336379608914,,0.10939153439153439
13,0.18775053413368603,0.18398335933437338,0.20320301341119665,0.34890429442143955,0.13425925925925927
14.3,,,0.36566683098858593,0.4829014097613176,
14.4,,0.34932686196336743,,,
14.7,0.3568826940685726,,,,0.31177248677248676
16,,,0.5268287133593721,,
16.3,,,,0.6120597403805891,
16.4,,0.5127289536025885,,,
16.8,,,,,0.4832010582010582
17.1,0.5158612269813816,,,,
18.8,,,0.6818095635357021,,
19.2,,,,0.7388917321918764,
19.8,,0.67544924019183,,,
20.3,,,,,0.6551587301587302
21,0.6746159324448062,,,,
24.9,,,0.8395586060445186,0.8700041874098544,
26.3,,0.8359276593285954,,,
26.8,,,,0.8964779230447122,
27.1,,,0.8722839482765159,,
28.5,,0.869312994742012,,,
28.7,,,,,0.8265873015873015
29.1,0.8373384881473191,,,,
29.4,,,,0.9221607034848556,
30.2,,,0.90452896489831,,
31.6,,0.9024325417461143,,,
31.7,0.8700986875572286,,,,
31.8,,,,,0.8617724867724867
33.2,,,,0.948401805238915,
35.3,,,0.9359776522189779,,
35.4,0.9029199308169702,,,,
35.7,,,,,0.8961640211640212
36.3,,0.9348471716646444,,,
40.64,,,,0.973991532126739,
40.88,0.93492725607895,,,,
42.2,,,,,0.9308201058201058
45.5,,0.9672733576009707,,,
45.8,,,0.9679445855927598,,
51.7,0.967483975989419,,,,
53.7,,,,,0.9653439153439154
125.5,1.0,,,,
150,,1.0,,,
160,,,,,1.0
188,,,,1.0,
193.4,,,1.0,,
