value,sunnybrook_probability,ucmc_probability
0.05,,0.02815995885302816
0.1,0.02824479890150245,0.05850585058505851
0.14,,0.08589430371608589
0.17,,0.10801080108010801
0.2,0.07226453353770497,
0.21,,0.1343062877716343
0.24,0.08042343248551037,
0.3,0.13134070987210805,
0.38,,0.26128327118426126
0.5,0.2744487554086634,
0.55,,0.38678153529638676
0.67,0.37634717631843656,
0.75,,0.5181303844670181
0.8,0.5005348788938385,
1,0.6238763551595855,0.6437572328661437
1.1,0.7068225000399163,
1.16,,0.7133213321332134
1.3,0.7877408950839041,
1.37,,0.7771634306287771
1.5,0.8483019590937395,
1.69,,0.8435129227208435
1.9,0.9201513627436892,
2.2,,0.9097338305259097
4,0.9884721623477192,0.9757618619004758
4.5,0.9910268078108285,0.9806480648064807
5.16,,0.9855342677124855
5.2,0.9932461560569047,
6.2,0.9953856716322588,
6.21,,0.9902918863314903
8.84,,0.9951137970939952
9.44,0.9976848525490571,
9.69,,0.9961424713899961
10.796,0.9981478820392458,
10.94,,0.9971068535424971
12.872,0.9986109115294343,
14.26,,0.9980712356949981
15.94,0.9990739410196229,
19.87,,0.9990356178474991
23.172,0.9995369705098114,
49.68,1.0,
49.9,,1.0
