value,sunnybrook_probability,ucmc_probability
0.01,,0.5841332027424094
0.08,0.5768979660165732,
0.11,,0.7633692458374143
0.18,0.7608604670628609,
0.5,0.9474679835942077,0.9480901077375122
0.57,,0.9596474045053869
0.6,0.9702017242822466,
0.68,,0.9689846555664381
0.706,0.9780195865070729,
0.88,,0.9791707476330395
1,0.9897547501464803,
1.052,0.9918138444797857,
1.2,0.9944756005691805,
1.31,,0.9894874306235717
1.386,0.9958985519377249,
1.58,,0.9916421808684296
2,0.9980078680840379,
2.01,,0.9937969311132876
2.72,,0.9958863858961802
3.86,,0.9979105452171074
15.68,1.0,
44.5,,1.0
