value,sunnybrook_probability,ucmc_probability
0.01,,0.028901734104046242
0.02,0.016492845015765218,0.03696881153528552
0.03,,0.04427364542971479
0.07,,0.07552563043892524
0.1,0.042262915352898375,
0.12,,0.11757606555294417
0.15,0.049190516614115935,
0.16,,0.15054309851997713
0.2,0.08176691729323309,0.18490757797116178
0.3,,0.27510639649367974
0.37,0.18269463982536988,
0.41,,0.3538715619640475
0.5,0.3233537472714043,
0.53,,0.4335895318554278
0.6,0.41477686150861026,
0.67,,0.518579686209744
0.7,0.5023344651952462,
0.8,0.5823732718894009,0.5975989328590484
0.9,0.6975654862963862,
0.95,,0.6822079654449597
1,0.7537442396313364,
1.14,,0.7595756844311757
1.2,0.8360417171962163,
1.41,,0.8396112557962269
1.5,0.9085617268978898,
1.6,0.9347714043172447,
1.7,0.9473381033228232,
1.9,0.9648920688818822,
1.94,,0.9187575430349997
2.14,,0.9360350632026933
2.3,0.9819306330341984,
2.42,,0.9517245760020326
2.838,,0.9674776090961063
3.944,,0.9837388045480531
28.9,1.0,
44.87,,1.0
