value,emory_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
15.28,0.0033971275772762435,,,,,,
34,0.006800982139854025,,,,,,
39,,0.018660639192598822,,,,,
44,,0.036024670591533504,,,,,
48,,0.0570156994673395,,,,,
50,,0.07161129800953182,,,,,
52,,0.08646972245584525,,,,,
52.86,,,,,,,0.0022446545702359657
57.74,,,,0.004224198890915181,,,
58.38,,,,,,0.0023046376400510564,
59.76,0.010177928761225656,,,,,,
61.22,,,0.0028538061714586485,,,,
62,,0.18042122231567143,,,0.0023101845330328217,,
63.1,,,,,,,0.004491438793764375
67.6,,,,0.008467006587517213,,,
67.68,,,,,,0.004591547298255567,
69.3,,,,,,,0.00674674163046256
69.58,0.013568329353200364,,,,,,
70,,0.25749929913092234,,,,,
70.34,,,0.005699388117639318,,,,
71,,,,,0.004535850119735174,,
73,,,,0.012691205478432395,,,
73.3,,,,,,0.006896184938306623,
73.8,,,,,,,0.008991396200698526
74.6,0.016965456930476606,,,,,,
75.86,,,0.008544970063819988,,,,
76,,,,,0.006874207634878152,,
76.38,,,,0.01684096914660017,,,
77,,,,,,0.00925400652389732,0.011221143197887385
78.7,,,0.011415224685834594,,,,
78.9,,,,0.02106516803751535,,,
79,,,,,0.008930835328919567,,
79.5,,,,,,0.011470004254715643,
80.6,,,0.014244358181459306,,,,
81,,,,,0.010917030567685589,,
82,,0.3432681525091113,,,,,
84,0.03397127577276244,,,,,,
84.5,,,,0.042000074435222745,,,0.022429508476020103
85.4,,,0.028538061714586487,,,0.02338320805559495,
86,,,,,0.021312860966333287,,
87.2,0.05156234233628199,,,0.06297219844430385,,,
87.3,,,,,,,0.03370176335292614
87.7,,,0.04273307454437792,,,0.03467593249184513,
88,,,,,0.031314269615438796,,
88.9,0.06850089132555245,,,0.08483754512635379,,,
89,,,0.05701855385222712,,,,0.0457300451486498
89.1,,,,,,0.04660686427457098,
90,0.08461874810803538,0.42873913652929635,0.07109842752812685,0.10478618482265808,0.0518382870826877,0.05735002127357822,0.05599071471164494
94,,0.5845598542192318,,,,,
94.8,,,0.26403052832423185,,,,
94.9,,,,0.28471472700882056,,,
95,0.2716154855201641,,,,0.2815466967178476,,
95.5,,,,,,0.2489717770529003,
95.7,,,,,,,0.2500638895987733
96,,0.7433943089430894,0.44477432725837224,,,,
96.8,0.4525781171168141,,0.6394170669122968,,,,
97,,0.8557786655452762,,,0.5429778842090436,,
97.3,,,,0.469649037924746,,,
97.5,,,0.8201690900717152,,,,
97.6,,,,,,0.43681747269890797,
97.7,,,,,,,0.43936238180424225
97.9,0.6461740271097508,,,,,,
98,,0.960295766750771,,,0.7419213973799127,,
98.6,,,,0.6566489262719118,,,
98.7,0.8176112475194242,,,,,,
98.9,,,,,,,0.6371432830735156
99,,,,,0.940371883363854,0.6432066373564034,0.8968161683277962
99.3,,,,0.8282779411217388,,,
99.8,,,,,,0.8151503332860587,
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0
