value,sunnybrook_probability,ucmc_probability
0.01,0.002760070973253598,
0.02,,0.0089662789942174
0.05,,0.012864661165616268
0.06,0.003663665637116383,
0.09,,0.017607692807484893
0.1,0.00576657685483341,
0.12,0.0060294407570480385,0.021051263725553895
0.42,,0.040933012799688126
0.5,0.012551751330748505,
0.856,,0.06107465401858229
1,0.018236183216139845,
1.388,,0.0814112143460464
1.6,0.024167050009857395,
2,0.02978576591969508,0.10181274770970047
3.33,,0.1466441426807875
4.04,0.09279095748176382,
4.7,,0.19160548372425443
5.12,0.15571400407439048,
5.768,,0.23604704047820155
6,0.22078924886639942,
6.68,,0.2810733545578585
6.8,0.28491161201288034,
7.5,0.3443352829072748,0.32557988434799556
9.01,0.4754879411184859,
9.9,,0.4609836917679163
10.87,0.6066734573174739,
12.53,,0.5954129036449873
13.2,0.7388940001314319,
15.738,,0.7299720615944383
17.14,0.8688801997765657,
18.4,0.8953144509430242,
20.1,0.9219294210422554,
21.26,,0.8649210577610291
22.48,0.9475750805020701,
23.01,,0.8920797868884413
25.66,,0.9190435969072834
26.78,0.9737957547479792,
28.898,,0.9459424338899357
34.512,,0.9729712169449678
49.96,,1.0
50,1.0,
