value,emory_probability,mimic_iv_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability
76.0,,,,,,,0.000012966636843401926
76.2,3.4784665528048613e-6,,0.00003808580732390075,,,,
77.0,,,,,,,0.000025933273686803852
77.0001,6.956933105609723e-6,,,,,,
78.00086,,,0.00004760725915487594,,,,
78.50124,,,0.000057128710985851125,,,,
78.74,,,0.00011425742197170225,,,,
78.99908,,,0.00013330032563365263,,,,
79.248,,,0.0001428217774646278,,,,
79.99983999999999,,,0.00017138613295755338,,,,
81.0006,,,0.00018090758478852856,,,,
81.09966,0.000020870799316829168,,,,,,
81.28,,,0.0002189933921124293,,0.00002467125552019342,,
81.99882000000001,,,0.0002380362957743797,,,,
82.55,,,0.0002475577476053549,,,,
82.99958,,,0.00025707919943633004,,,,
83.49996,,,0.00026660065126730525,,,,
83.8,,,,,,0.00001879310668846667,
83.82000000000001,,,0.0003522937177460819,,,,
83.89874,,,0.0003618151695770571,,,,
84.00034,,,0.0003713366214080323,,,,
85.00110000000001,,,0.0003808580732390075,,,,
85.09,,,0.0003999009769009579,,,,
85.99932,,,0.0004284653323938834,,,,
86.36,,,0.00048559404337973454,,,,
87.59952,,,0.0004951154952107098,,,,
87.63,,,0.0005046369470416849,,,,
88.00084,,,0.0005522442061965608,,,,
88.9,,,0.000609372917182412,,,,
89.49943999999999,,,0.0006188943690133872,,,,
89.99982,,,0.0006284158208443623,,,,
90.17,,,0.0006474587245063128,,,,
90.5002,,,0.0006569801763372879,,,,
91.0,,,,,,,0.00006483318421700963
91.00058,,,0.0006665016281682631,,,,
91.39936,,,0.0006760230799992382,,,,
91.44,,,0.0007807590501399653,0.00003457216940363008,,,
91.50096,,,0.0007902805019709405,,,,
91.9988,,,0.0007998019538019158,,0.00004934251104038684,,
92.075,,,0.0008093234056328909,,,,
92.49918000000001,0.00002434926586963403,,0.0008188448574638661,,,,
92.71000000000001,,,0.0008283663092948412,,,,
93.98,,,0.000866452116618742,,0.00007401376656058027,0.00003758621337693334,
94.0,,,,,,,0.00007779982106041156
94.00032,,,0.0008759735684497173,,,,
95.00108,,,0.0008854950202806924,,,,
95.25,,,0.0008950164721116676,,,,
95.885,,,0.0009045379239426427,,,,
95.9993,,,0.000914059375773618,,,,
96.49968,,,0.0009235808276045932,,,,
96.52,,,0.0009521451830975188,,0.00009868502208077369,,
97.00006,,,0.0009711880867594691,,,,
98.0,,,,,,0.00005637932006540001,
98.00081999999999,,,0.0009807095385904443,,,,
98.9,,,,,,0.00007517242675386668,
98.99904,,,0.001018795345914345,,,,
99.0,,,,,,,0.00009076645790381349
99.06,,,0.0010568811532382458,,,,
99.10064,0.00008000473071451181,,,,,,
99.9998,,,0.0011235313160550722,,,,
100.0,,,,,,,0.00012966636843401926
100.33,,,0.0011425742197170225,,,,
100.50018,,,0.0011520956715479977,,,,
101.00056000000001,,,0.0011616171233789728,,,,
