value,mimic_iv_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability
0.0,0.0019929561127865533,0.00015165919688532755,0.0005047180162387535,0.00012255202333390523,0.0034639579296023167,0.00024261984291775753
0.1,,,0.0005120327700972862,,0.0038476378754969415,0.00025672564773855736
0.13,0.0019964710265657185,0.0001561863370908597,,,,
0.14,,0.00016071347729639188,,,,
0.15,,,,,,0.00025954680870271735
0.16,,0.00016297704739915794,,,,0.00026801029159519727
0.18,,0.0001697677577074562,,,,0.00027929493545183717
0.19,,,,,,0.0002821160964159971
0.2,0.0019999859403448833,0.00017882203811852052,0.0005266622778143515,,0.004051400106650019,0.000290579579308477
0.21,0.0020070157679032133,,,,,
0.22,,0.00018561274842681877,,,,0.000293400740272637
0.23,,0.00018787631852958486,,,,
0.24,,,,,,0.000296221901236797
0.25,,,,,,0.0002990430622009569
0.27,,,,,,0.0003018642231651169
0.3,,,0.0005339770316728842,,0.004211808671600314,0.00032443351087839666
0.31,,0.00019013988863235095,,,,
0.33,,,,,,0.00032725467184255665
0.34,,0.00019240345873511704,,,,
0.35,,,,,,0.00033007583280671664
0.36,,,,,,0.0003328969937708766
0.38,,,,,,0.00033571815473503656
0.4,,,,,0.004424241635993948,0.00034700279859167647
0.5,,0.00020145773914618135,0.0005412917855314169,,0.004601991667425356,0.0003611086034124763
0.52,,,,,,0.0003639297643766363
0.56,,,,,,0.0003667509253407962
0.6,,,,,0.004745058765894538,0.00037803556919743613
0.7,,0.00020372130924894744,0.0005632360471070148,,0.004868616714572468,0.0003808567301615961
0.8,,,,,0.004977000880079424,0.00039214137401823596
0.9,,,0.0005705508009655475,,0.005104894195377632,
0.91,,0.00020598487935171353,,,,0.00039496253498239595
1.0,0.0020421649056948632,0.00031010910407895334,0.000775363909004462,0.0001960832373342484,0.005278308860188762,0.0006460458607926334
1.1,,,,,0.005365016192594327,0.0006545093436851133
1.2,,0.0003123726741817194,0.0007826786628629946,,0.005473400358101283,0.0006573305046492732
1.3,,,0.0007899934167215273,,0.005573113790367682,
1.4,,,,,0.005651150389532691,0.0006601516656134333
1.5,,,0.0008046229244385927,,0.005740025405248395,
1.6,,,,,0.005813726637793125,
1.7,,,0.0008119376782971253,,0.0058939309202682725,0.0006657939875417532
1.8,,,,,0.005982805935983977,0.0006714363094700731
1.9,,0.0003146362442844855,0.0008338819398727232,,0.00607384863500982,
2.0,0.0021019184399406685,0.00047534972158087737,0.0010898983249213665,0.00033089046300154414,0.006232089516649975,0.0009986909813126297
2.1,,,0.0010972130787798991,,0.006336138315536653,
2.2,,0.00047761329168364343,0.0011045278326384316,,0.006420677964632079,0.0010015121422767897
2.3,0.0021054333537198332,0.00047987686178640955,,,0.006505217613727505,0.0010043333032409498
2.4,,0.0004844040019919417,,,0.006598427996063487,
2.5,,0.0004866675720947078,,,0.00668947069508933,0.0010071544642051096
2.6,,0.00049119471230024,0.001119157340355497,,0.00676317192763406,0.0010156179470975895
2.7,,,0.0011264720942140297,,0.006871556093141017,
2.8,,,,,0.006964766475476999,0.0010297237519183895
2.9,,0.000493458282403006,0.0011337868480725624,,0.007075318324294094,0.0010353660738467094
3.0,0.0021124631812781632,0.0006066367875413102,0.0013605442176870747,0.0003921664746684968,0.00725957140565592,0.0015234269206463845
3.1,0.0021159780950573285,0.0006134274978496084,0.0013751737254041401,,0.007352781787991902,0.0015262480816105443
3.2,,0.0006202182081579067,0.0013898032331212055,,0.007432986070467049,0.0015290692425747043
3.3,,0.0006270089184662049,0.0014117474946968034,,0.00752836413611317,0.0015318904035388644
3.4,,0.0006315360586717371,0.0014263770024138687,,0.007630245251689709,0.0015431750473955041
3.5,,0.0006337996287745032,0.0014336917562724014,,0.00772562331733583,0.001554459691252144
3.6,,0.0006405903390828014,,,0.007812330649741395,0.001562923174144624
3.7,,0.0006473810493910997,0.0014556360178479995,,0.007894702615526682,
3.74,,,,,,0.001565744335108784
3.75,,,,,,0.0015685654960729439
3.8,,0.0006496446194938657,0.001462950771706532,,0.007992248364482942,0.001571386657037104
3.9,,0.0006519081895966318,,,0.008083291063508786,0.001574207818001264
4.0,0.0021476123190698132,0.0007175517225768482,0.0017482261721893059,0.00044118728400205885,0.00832173622762409,0.0018929990069513406
4.1,,0.0007266060029879125,0.0017701704337649037,,0.008399772826789097,0.0018986413288796607
4.2,,0.0007424509937072751,0.0017994294491990345,,0.008482144792574383,0.0019268529385212602
4.3,,0.0007560324143238716,0.0018579474800672958,,0.00861437347449287,0.0019324952604495803
4.31,,,,,,0.0019353164214137401
4.35,,,,,,0.0019381375823779002
4.36,,,,,,0.0019409587433420602
4.4,,0.0007628231246321699,0.0019018360032184917,,0.008757440572962053,0.0019522433871987
4.5,,0.0007831952555570646,0.0019310950186526223,,0.008909178404671791,0.00196917035298366
4.54,,,,,,0.00197199151394782
4.6,,0.0007899859658653628,0.0019676687879452855,,0.00905658086976125,0.0020058454455177395
4.7,,0.000821675947304088,0.001982298295662351,,0.00925817541760419,0.0020199512503385393
4.74,,,,,,0.0020227724113026993
4.8,,0.0008307302277151523,0.0020042425572379488,,0.00940341019938351,0.002045341699015979
4.84,,,,,0.00940557788269365,
4.9,,0.000848838788537281,0.0020335015726720795,,0.00962884926363798,0.0020679109867292587
5.0,0.002270634301340588,0.0009484358730589887,0.0024650720503255064,,0.010342017072673751,0.002646248984382053
5.09,,,,,0.01034418475598389,
5.1,0.0022741492151197532,0.0009529630132645208,0.002494331065759637,,0.010682343352365592,0.0026716394330594927
5.2,,0.000984652994703246,0.00250164581961817,,0.010940297666272148,0.0027083145255935724
5.23,,,,,,0.002711135686557732
5.3,,0.0009982344153198425,0.0025382195889108333,,0.011131053797564391,0.0027449896181276517
5.33,,,,,,0.0027478107790918117
5.34,,,,,,0.0027506319400559718
5.4,,0.0010186065462447372,0.002560163850486431,,0.011313139195616077,0.002795770515482531
5.43,,,,,0.011315306878926217,0.0028014128374108513
5.44,,,,,0.011317474562236356,
5.45,,,,,0.011319642245546494,
5.5,,0.0010208701163475034,0.002625996635213225,,0.011486553860427207,0.002840909090909091
5.51,,,,,,0.002843730251873251
5.52,,,,,,0.0028465514128374106
5.6,,0.0010276608266558014,0.002655255650647356,,0.011625285592276111,0.0028775841834431707
5.69,,,,,,0.0028804053444073303
5.7,,0.0010435058173751642,0.002669885158364421,,0.011753178907574319,0.00293118624176221
5.72,,,,,,0.00293400740272637
5.77,,,,,,0.00293682856369053
5.8,,0.0010638779483000589,0.0027064589276570845,,0.011876736856252249,0.0029847883000812493
5.9,,0.0010751957988138893,0.0027649769585253456,,0.011991624071689622,0.0030129999097228493
5.97,,,,,,0.0030158210706870093
6.0,0.002400686111169693,0.0011725293132328308,0.003445249067368883,0.0005024632956690115,0.012282093635248265,0.0038706328428274803
6.01,,,,,,0.0038734540037916403
6.07,,0.001174792883335597,,,,
6.1,0.002404201024948858,0.0011838471637466612,0.003474508082803014,,0.012431663783647864,0.0038903809695766
6.14,,,,,,0.00389320213054076
6.2,,0.00120195572456879,0.0035257113598127425,,0.012533544899224402,0.00393551954500316
6.26,,,,,,0.00393834070596732
