value,mimic_iv_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability
-1.0,,2.3451497612637544e-6,,,,
-0.82,,4.690299522527509e-6,,,,
-0.8,,7.035449283791263e-6,,,,
-0.65,,9.380599045055018e-6,,,,
-0.5,,0.000011725748806318772,,,,
-0.4,,,,,0.000012695672045399724,
-0.37,2.4096501669887566e-6,,,,,
-0.3,4.819300333977513e-6,,,,,
-0.2,9.638600667955027e-6,,,,,
-0.15,0.000012048250834943782,,,,,
-0.1,0.000024096501669887565,,,,,
0.0,0.0013036207403409174,0.0007809348705008302,0.00015731440475566212,0.00020398881739991173,0.00041895717749819086,0.00023653918699850123
0.02,,0.0007879703197846215,,,,
0.05,,0.0007903154695458852,0.00016208150793007613,,0.00045704419363439,0.0002620283235285122
0.06,0.001306030390507906,0.000802041218352204,,,,0.0002701848472181156
0.07,0.0013228979416768274,0.000830183015487369,0.00016684861110449013,0.00021736513329498788,,0.00029873268013172786
0.075,0.001325307591843816,,,,,
0.08,0.0013686812948496138,0.0008864666097576991,0.00017638281745331814,0.0002407736861113712,0.0005078268818159889,0.0003874348752561658
0.085,0.0013710909450166025,,,,,
0.09,0.0014241032486903551,0.0009192987064153917,0.00018114992062773214,0.00026752631790152355,0.000596696586133787,0.000488371855915009
0.1,0.0014409707998592764,0.000973237150924458,0.0003289301190345663,0.0002942789496916759,0.0007871316668147828,0.0006127588421814623
0.11,,0.0009779274504469854,0.00034323142855780827,,,
0.12,,0.0009802726002082493,0.0003575327380810503,,,0.0006147979731038632
0.13,,0.0009919983490145681,0.0003670669444298783,,,0.0006158175385650636
0.14,,0.0009966886485370957,0.0003956695634763623,,,0.000616837104026264
0.15,0.001465067301529164,0.001001378948059623,0.0004719432142669864,,0.0009267840593141798,0.0006229544967934666
0.16,,0.0010060692475821506,0.0005100800396622984,,,0.000623974062254667
0.17,,,0.0005434497618831964,,,
0.18,,0.0010084143973434143,0.0005768194841040945,,0.0009521754034049792,
0.19,,0.001022485295910997,0.0006149563094994065,,,
0.2,0.0014722962520301302,0.0010904946389876458,0.001220378412649985,0.0003043111866129831,0.0013457412368123706,0.0010205850266616367
0.21,,0.0010928397887489095,0.002459825237997626,,0.0013965239249939696,0.0010236437230452381
0.22,,0.0010951849385101734,0.00272678301576481,,0.0015488719895387663,0.0010246632885064385
0.23,,0.0010998752380327007,0.0028936316268693,,0.001650437365901964,
0.24,,0.0011045655375552283,0.0031605894046364846,,0.001967829167036957,0.001025682853967639
0.25,0.0014771155523641078,0.0011092558370777558,0.0033751090474851146,,0.0023233079843081495,0.0010368980740408438
0.26,0.0014819348526980854,0.0011139461366002834,0.003656368134775541,,0.002907308898396537,
0.27,,0.0011233267356453383,0.003975764047461279,,0.0038340929577107166,0.0010379176395020442
0.28,0.001484344502865074,0.001135052484451657,0.004242721825228463,,0.004481572232026102,0.0010409763358856456
0.29,0.0014891638031990515,,0.004700363729972208,,0.004900529409524293,0.0010542306868812513
