data_type,category,reference_unit,emory__total_number_of_stays,mimic__total_number_of_stays,nu__total_number_of_stays,ohsu__total_number_of_stays,rush__total_number_of_stays,ucmc__total_number_of_stays,umn__total_number_of_stays,upenn__total_number_of_stays,all__total_number_of_stays,emory__total_observations,mimic__total_observations,nu__total_observations,ohsu__total_observations,rush__total_observations,ucmc__total_observations,umn__total_observations,upenn__total_observations,all__total_observations,emory__total_distinct_observations,mimic__total_distinct_observations,nu__total_distinct_observations,ohsu__total_distinct_observations,rush__total_distinct_observations,ucmc__total_distinct_observations,umn__total_distinct_observations,upenn__total_distinct_observations,all__total_distinct_observations,emory__mean_icu_los_days,mimic__mean_icu_los_days,nu__mean_icu_los_days,ohsu__mean_icu_los_days,rush__mean_icu_los_days,ucmc__mean_icu_los_days,umn__mean_icu_los_days,upenn__mean_icu_los_days,all__mean_icu_los_days,emory__mean_icu_los_hours,mimic__mean_icu_los_hours,nu__mean_icu_los_hours,ohsu__mean_icu_los_hours,rush__mean_icu_los_hours,ucmc__mean_icu_los_hours,umn__mean_icu_los_hours,upenn__mean_icu_los_hours,all__mean_icu_los_hours,emory__whole_stay_mean,mimic__whole_stay_mean,nu__whole_stay_mean,ohsu__whole_stay_mean,rush__whole_stay_mean,ucmc__whole_stay_mean,umn__whole_stay_mean,upenn__whole_stay_mean,all__whole_stay_mean,emory__whole_stay_median,mimic__whole_stay_median,nu__whole_stay_median,ohsu__whole_stay_median,rush__whole_stay_median,ucmc__whole_stay_median,umn__whole_stay_median,upenn__whole_stay_median,all__whole_stay_median,emory__whole_stay_iqr,mimic__whole_stay_iqr,nu__whole_stay_iqr,ohsu__whole_stay_iqr,rush__whole_stay_iqr,ucmc__whole_stay_iqr,umn__whole_stay_iqr,upenn__whole_stay_iqr,all__whole_stay_iqr,emory__first_24hr_mean,mimic__first_24hr_mean,nu__first_24hr_mean,ohsu__first_24hr_mean,rush__first_24hr_mean,ucmc__first_24hr_mean,umn__first_24hr_mean,upenn__first_24hr_mean,all__first_24hr_mean,emory__first_24hr_median,mimic__first_24hr_median,nu__first_24hr_median,ohsu__first_24hr_median,rush__first_24hr_median,ucmc__first_24hr_median,umn__first_24hr_median,upenn__first_24hr_median,all__first_24hr_median,emory__first_24hr_iqr,mimic__first_24hr_iqr,nu__first_24hr_iqr,ohsu__first_24hr_iqr,rush__first_24hr_iqr,ucmc__first_24hr_iqr,umn__first_24hr_iqr,upenn__first_24hr_iqr,all__first_24hr_iqr,emory__first_48hr_mean,mimic__first_48hr_mean,nu__first_48hr_mean,ohsu__first_48hr_mean,rush__first_48hr_mean,ucmc__first_48hr_mean,umn__first_48hr_mean,upenn__first_48hr_mean,all__first_48hr_mean,emory__first_48hr_median,mimic__first_48hr_median,nu__first_48hr_median,ohsu__first_48hr_median,rush__first_48hr_median,ucmc__first_48hr_median,umn__first_48hr_median,upenn__first_48hr_median,all__first_48hr_median,emory__first_48hr_iqr,mimic__first_48hr_iqr,nu__first_48hr_iqr,ohsu__first_48hr_iqr,rush__first_48hr_iqr,ucmc__first_48hr_iqr,umn__first_48hr_iqr,upenn__first_48hr_iqr,all__first_48hr_iqr,emory__first_72hr_mean,mimic__first_72hr_mean,nu__first_72hr_mean,ohsu__first_72hr_mean,rush__first_72hr_mean,ucmc__first_72hr_mean,umn__first_72hr_mean,upenn__first_72hr_mean,all__first_72hr_mean,emory__first_72hr_median,mimic__first_72hr_median,nu__first_72hr_median,ohsu__first_72hr_median,rush__first_72hr_median,ucmc__first_72hr_median,umn__first_72hr_median,upenn__first_72hr_median,all__first_72hr_median,emory__first_72hr_iqr,mimic__first_72hr_iqr,nu__first_72hr_iqr,ohsu__first_72hr_iqr,rush__first_72hr_iqr,ucmc__first_72hr_iqr,umn__first_72hr_iqr,upenn__first_72hr_iqr,all__first_72hr_iqr
labs,wbc,10^3/µl,77191.0,,119304.0,52780.0,54471.0,,,,303746,513975.0,,750509.0,325021.0,357134.0,,,,1946639,513975.0,,750509.0,325021.0,357134.0,,,,1946639,5.38,,4.71,4.65,5.07,,,,4.9344,129.03,,112.99,111.58,121.71,,,,118.385004,6.66,,6.29,6.16,6.56,,,,6.409858,3.0,,3.0,3.0,4.0,,,,3.179331,5.0,,4.0,5.0,5.0,,,,5.0,2.21,,2.33,2.66,2.54,,,,2.394506,2.0,,2.0,2.0,2.0,,,,2.0,2.0,,2.0,2.0,2.0,,,,2.0,3.36,,3.44,3.78,3.74,,,,3.532548,2.0,,2.0,3.0,3.0,,,,2.353094,2.0,,3.0,2.0,2.0,,,,3.0,4.09,,4.12,4.43,4.46,,,,4.227215,3.0,,3.0,3.0,3.0,,,,3.0,3.0,,2.0,3.0,3.0,,,,3.0
labs,monocytes_absolute,10^3/µl,13247.0,20114.0,70556.0,18857.0,34637.0,,,,157411,39223.0,37662.0,286063.0,65292.0,142229.0,,,,570469,39223.0,37662.0,286063.0,65292.0,142229.0,,,,570469,7.74,5.6,5.26,5.3,5.33,,,,5.532346,185.76,134.45,126.31,127.24,128.01,,,,132.838654,2.96,1.87,4.05,3.46,4.11,,,,3.622233,1.0,1.0,2.0,2.0,2.0,,,,1.788064,2.0,1.0,3.0,2.0,4.0,,,,4.0,0.92,1.04,1.36,1.44,1.54,,,,1.331273,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,,1.0,1.39,1.23,2.07,1.98,2.22,,,,1.927664,1.0,1.0,2.0,1.0,2.0,,,,1.66827,1.0,0.0,1.0,1.0,2.0,,,,2.0,1.69,1.36,2.52,2.32,2.67,,,,2.310973,1.0,1.0,2.0,1.0,2.0,,,,1.66827,1.0,0.0,2.0,2.0,2.0,,,,2.0
labs,ast,u/l,56530.0,44186.0,75735.0,27222.0,40504.0,24268.0,80835.0,86209.0,435489,270569.0,162103.0,344873.0,85109.0,203462.0,128538.0,335364.0,448878.0,1978896,270569.0,162103.0,344873.0,85109.0,203462.0,128538.0,335364.0,448878.0,1978896,6.01,5.67,5.52,5.11,5.43,7.0,5.58,6.79,5.909845,144.27,136.14,132.5,122.62,130.32,167.96,133.81,162.9,141.813975,4.79,3.67,4.55,3.13,5.02,5.3,4.15,5.21,4.545017,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.937491,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,1.69,1.43,1.7,1.57,1.9,1.81,1.58,1.83,1.691373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.48,2.02,2.42,2.03,2.74,2.61,2.25,2.57,2.401314,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.650409,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.98,2.37,2.89,2.31,3.28,3.15,2.69,3.06,2.859958,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.937491,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
labs,glucose_fingerstick,mg/dl,1100.0,,1.0,43300.0,38227.0,33893.0,58093.0,106095.0,280709,2445.0,,1.0,931537.0,906094.0,645522.0,1440150.0,2170618.0,6096367,2445.0,,1.0,931537.0,906094.0,645522.0,1440150.0,2170618.0,6096367,5.92,,4.15,4.8,5.68,6.25,4.52,6.14,5.547811,142.06,,99.5,115.28,136.38,149.95,108.58,147.35,133.17877,2.22,,1.0,21.51,23.7,19.05,24.79,20.46,21.717496,1.0,,1.0,7.0,9.0,7.0,11.0,8.0,8.454585,1.0,,0.0,21.0,21.0,17.0,21.0,18.0,21.0,1.63,,0.0,7.69,7.01,5.68,8.38,5.93,6.808532,1.0,,0.0,4.0,4.0,3.0,6.0,4.0,4.281391,2.0,,0.0,9.0,6.0,5.0,8.0,5.0,9.0,1.87,,1.0,12.04,11.41,8.73,12.74,9.37,10.650392,1.0,,1.0,6.0,7.0,5.0,9.0,6.0,6.616681,1.0,,0.0,14.0,10.0,8.0,11.0,8.0,14.0,1.97,,1.0,14.62,14.19,10.7,15.46,11.54,13.048261,1.0,,1.0,6.0,8.0,6.0,10.0,7.0,7.458507,1.0,,0.0,16.0,13.0,10.0,15.0,11.0,16.0
labs,lymphocytes_percent,%,13786.0,37463.0,69173.0,19968.0,34796.0,14533.0,61940.0,100574.0,352233,40475.0,70464.0,277224.0,70225.0,144654.0,46820.0,203945.0,498288.0,1352095,40475.0,70464.0,277224.0,70225.0,144654.0,46820.0,203945.0,498288.0,1352095,7.8,5.44,5.26,5.53,5.34,7.02,5.41,5.96,5.700634,187.16,130.49,126.32,132.67,128.08,168.49,129.85,143.0,136.801919,2.94,1.88,4.01,3.52,4.16,3.22,3.29,4.95,3.837812,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.637393,2.0,1.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,0.92,1.04,1.35,1.46,1.55,1.18,1.15,1.58,1.349681,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.38,1.25,2.04,2.01,2.25,1.66,1.69,2.4,1.974755,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.580704,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.68,1.37,2.49,2.35,2.69,1.97,2.04,2.92,2.373188,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.580704,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
labs,bilirubin_total,mg/dl,56622.0,44019.0,75839.0,27278.0,40526.0,24366.0,80979.0,101247.0,450876,273866.0,162367.0,345467.0,85606.0,205043.0,130815.0,344415.0,486746.0,2034325,273866.0,162367.0,345467.0,85606.0,205043.0,130815.0,344415.0,486746.0,2034325,6.01,5.68,5.52,5.11,5.43,6.98,5.58,6.48,5.869512,144.28,136.33,132.43,122.52,130.31,167.54,133.91,155.5,140.85252,4.84,3.69,4.56,3.14,5.06,5.37,4.25,4.81,4.513492,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.9395,4.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,5.0,1.71,1.43,1.7,1.57,1.91,1.83,1.63,1.71,1.682605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.03,2.42,2.04,2.76,2.64,2.32,2.41,2.391224,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.84187,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.02,2.39,2.89,2.32,3.31,3.18,2.76,2.87,2.848609,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.9395,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0
labs,total_protein,g/dl,56766.0,2645.0,76109.0,27613.0,40493.0,24438.0,80867.0,96637.0,405568,272698.0,3036.0,347575.0,88241.0,203491.0,130151.0,335413.0,440215.0,1820820,272698.0,3036.0,347575.0,88241.0,203491.0,130151.0,335413.0,440215.0,1820820,6.01,7.53,5.52,5.28,5.43,6.98,5.58,6.57,5.926493,144.18,180.64,132.37,126.73,130.31,167.52,133.81,157.64,142.174494,4.8,1.15,4.57,3.2,5.03,5.33,4.15,4.56,4.492207,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.925394,4.0,0.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,1.7,0.55,1.7,1.58,1.9,1.82,1.6,1.62,1.672528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.49,0.75,2.43,2.05,2.74,2.63,2.27,2.28,2.376928,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.726002,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,0.85,2.9,2.33,3.28,3.17,2.71,2.72,2.835254,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.925394,3.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0
labs,crp,mg/l,4933.0,3664.0,10986.0,3008.0,4187.0,5111.0,19682.0,11551.0,63122,6741.0,6118.0,30447.0,4766.0,9273.0,13400.0,52259.0,19147.0,142151,6741.0,6118.0,30447.0,4766.0,9273.0,13400.0,52259.0,19147.0,142151,7.76,7.42,6.5,6.84,6.82,10.18,7.61,11.2,8.193454,186.23,178.04,156.04,164.04,163.74,244.25,182.72,268.75,196.655149,1.37,1.67,2.77,1.58,2.21,2.62,2.66,1.66,2.253316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.66,0.72,0.87,0.7,0.83,0.77,0.89,0.46,0.757238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.817005,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,0.99,1.22,0.93,1.11,1.08,1.32,0.66,1.07633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.99,1.14,1.48,1.08,1.3,1.32,1.63,0.84,1.307669,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
labs,bilirubin_conjugated,mg/dl,12928.0,5986.0,31877.0,10764.0,7056.0,19745.0,31726.0,85773.0,205855,35548.0,12963.0,138541.0,30500.0,11585.0,87200.0,89896.0,418051.0,824284,35548.0,12963.0,138541.0,30500.0,11585.0,87200.0,89896.0,418051.0,824284,8.94,8.26,7.32,7.34,6.52,7.27,7.38,6.77,7.197981,214.64,198.32,175.65,176.14,156.38,174.5,177.15,162.51,172.768824,2.75,2.17,4.35,2.83,1.64,4.42,2.83,4.87,4.002878,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.512584,1.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,4.0,0.84,0.87,1.29,0.95,0.73,1.43,0.94,1.72,1.351207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.27,1.23,1.94,1.43,1.01,2.11,1.41,2.41,1.949189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.416667,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.56,1.44,2.41,1.75,1.17,2.57,1.72,2.87,2.352071,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.512584,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0
labs,lactate,mmol/l,37583.0,51962.0,57024.0,25542.0,23538.0,26038.0,64254.0,99753.0,385694,235471.0,322682.0,463730.0,111644.0,159049.0,176569.0,366705.0,1808198.0,3644048,235471.0,322682.0,463730.0,111644.0,159049.0,176569.0,366705.0,1808198.0,3644048,6.52,5.28,5.89,5.32,6.32,6.54,5.42,6.37,5.947428,156.43,126.79,141.25,127.57,151.77,156.95,130.0,152.93,142.723704,6.27,6.21,8.13,4.37,6.76,6.78,5.71,18.13,9.449511,2.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,3.125978,4.0,5.0,6.0,4.0,5.0,6.0,4.0,12.0,12.0,2.79,3.06,3.91,2.8,3.1,3.28,3.03,6.64,4.080343,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.258632,2.0,3.0,4.0,2.0,3.0,3.0,3.0,7.0,7.0,3.7,3.93,5.12,3.33,4.14,4.34,3.94,9.06,5.412738,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.584774,3.0,4.0,5.0,3.0,4.0,4.0,3.0,9.0,9.0,4.25,4.43,5.84,3.58,4.75,4.92,4.41,10.65,6.222606,2.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,2.97813,3.0,4.0,5.0,3.0,5.0,5.0,4.0,10.0,10.0
