value,sunnybrook_probability
0.01,0.002760070973253598
0.06,0.003663665637116383
0.1,0.00576657685483341
0.12,0.0060294407570480385
0.5,0.012551751330748505
1,0.018236183216139845
1.6,0.024167050009857395
2,0.02978576591969508
4.04,0.09279095748176382
5.12,0.15571400407439048
6,0.22078924886639942
6.8,0.28491161201288034
7.5,0.3443352829072748
9.01,0.4754879411184859
10.87,0.6066734573174739
13.2,0.7388940001314319
17.14,0.8688801997765657
18.4,0.8953144509430242
20.1,0.9219294210422554
22.48,0.9475750805020701
26.78,0.9737957547479792
50,1.0
