value,emory_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
1,,,,0.04627089584226318,,,
1.2,,,,0.10810115730818688,,,
1.3,,,,0.14946420917273898,0.04407860891038173,,
1.4,,,,0.1962280325760823,,0.054238521687420674,
1.5,0.04767679830212992,,,,0.08904208251877765,,
1.6,,,,,0.12104125938882601,0.10387950545402906,0.051403019994766576
1.7,0.08778464770278611,0.05221855825019827,0.037426053362308344,,,0.1337457508276456,
1.8,0.11370748557135277,0.07484242601327379,,0.42595370767252466,0.20136845354460337,0.17327747650196593,0.1110179013960934
1.9,0.1455642061266256,,0.0748799673102462,,,0.2139186466552468,0.15270829805901456
2,0.18114584574070666,0.14196268314062696,,,,,0.20640479012421692
2.1,,0.18433025837959677,0.14070524429090167,0.5978996999571368,,,
2.2,,,0.18444636372923226,,0.4054943924272044,0.37646557615670684,
2.3,,,,,,,0.39359982760478396
2.4,0.37746207404359455,0.34774804858705183,,,,,
2.5,,,0.35041187232422294,0.7833476210887269,0.575995472785266,,
2.6,,,,,,0.6178274414435204,0.5927701756276264
2.7,0.5521759374560102,0.5223108068622949,,,,,
2.8,,,0.5477855477855478,,,,
2.9,,,,,0.773093939705731,0.7683746194605438,0.7581541397940493
3,0.7110588948684908,,,,,,
3.1,,0.7240055098718537,0.7237901540690386,,,,
3.5,0.8855237084601141,0.8570772634303127,0.8717577243473658,0.9736176596656665,0.9389752032102068,0.9345605268529942,0.9341511844474887
3.6,,0.9070835246483283,0.9218324835854717,0.9851478782683241,0.9687210618376376,0.9634238344176304,0.9641664229531917
3.7,0.9460319866595922,0.9271194222982845,,,0.97857804300854,,0.974479351055151
3.8,0.9587768405323169,0.942396794256376,0.9532406504518058,0.9925417916845264,,0.9792400749096912,
3.9,,,,0.9947921131590227,0.9909455705319478,,0.9875398279126326
4,0.9765676603393575,,0.9720929800611076,,,0.988515030753801,
4.1,,0.972116709103811,,,,,
5,0.9981483687236739,0.9975789957006302,0.9947436361778991,0.9999357051007287,0.9999279761292315,0.9984467777294553,0.9996844551849401
5.2,,,,1.0,,,
6,,1.0,,,,,
7.9,1.0,,,,,,
10.7,,,,,1.0,,
10.9,,,1.0,,,,
12,,,,,,,1.0
14.3,,,,,,1.0,
