value,emory_probability,mimic_probability,nu_probability,rush_probability,upenn_probability
10.9995,,0.011931569925721777,,,
11.4995,,,,,0.010909308877300246
12.2995,,,,0.014332755632582322,
12.9995,,,0.018652608191078886,,
20.0,,,,0.010277296360485268,
20.499499999999998,0.017253513382744286,,,,
22.0,,,0.01575627126377496,,
22.0,,,,0.013830155979202773,
22.5,,,,,0.013859750777571313
23.0,,0.010631981088741752,,,
23.5,,,0.00972058283821181,,
23.5,,,,0.009878682842287694,
24.5,,,,,0.006819983083245086
24.5,,,0.012106093218405625,,
24.5,,,,0.011681109185441942,
25.0,0.024357254393102993,,,,
25.0,,0.017533245947187397,,,
25.5,,,0.01401549341876866,,
25.85,,,,,0.009883647358921591
26.5,0.01739646792320042,,,,
26.5,,0.01250294087991127,,,
26.85,,,,,0.010319886511219005
27.0,,,,0.06329289428076257,
27.5,0.020629439838131473,,,,
28.0,,,0.0865082277790452,,
28.5,,0.054560324449075166,,,
28.5,,,,,0.05057044096785151
29.0,0.055103477094284016,,,,
30.5,,,,0.07039861351819757,
31.0,,,0.06307467986549888,,0.051166523473662476
31.0,0.07146627372495547,0.05133936073673243,,,
33.0,0.08076931535771624,0.06301325356546679,,,
33.0,,,0.07349454953033714,0.05873483535528596,0.06532265046920685
34.5,0.043865050913809406,0.03559865111641403,,,
34.5,,,0.039462590634516,0.03386481802426343,0.035218818890820326
35.4995,0.09000637797180497,,0.07723399823442476,,
35.9995,,0.11160779305168106,,0.10535528596187176,0.11298261037516567
37.0,0.08910466471662011,,0.08067587807611812,,
38.0,,0.07743756932074077,,0.07311958405545928,0.07854635790258879
39.0,0.08418922782555148,,0.07269607308291261,,
40.0,,0.07557781288161418,,0.07114384748700173,0.07541276215975011
41.5,0.10364204183069783,,0.09355069085570886,,
42.0,,0.06804355863274292,,0.06530329289428076,0.06903900843839704
44.0,0.053596956167938595,0.05998274683785389,0.05161827866332067,0.05540727902946274,0.05970149253731343
45.9995,0.06803536475400823,0.08009276375491547,0.06467659224138786,0.07155979202772964,0.07878612293285914
48.0,0.03257164221777475,,,,
48.5,,0.06126553064676951,0.05266472916274041,,0.06098356943528675
49.0,,,,0.07480069324090122,
51.5,0.05532340715652422,,,,
52.5,,0.07024501730917891,0.06030728944523245,,
52.6,,,,,0.06753714692934258
53.5,,,,0.06327556325823223,
58.0,0.04351316281422508,,,,
59.0,,0.06488981503265777,,,
59.25,,,0.05546187646924626,,
60.1,,,,,0.07283195801447914
60.5,,,,0.06407279029462738,
63.4995,0.012711957597484001,,,,
63.9995,,0.016715401248053416,,,
64.7495,,,0.012066417370086395,,
65.9995,,,,,0.014399222095679568
66.4995,,,,0.01733102253032929,
66.5,0.007422639600607007,,,,
67.0,,0.015656684479996415,,,
68.0,,,0.012537568068877273,,
69.0,,,,,0.016104217866490838
70.0,,,,0.012218370883882149,
71.0,0.01041368844707383,,,,
71.5,,0.013550454295925341,,,
72.5,,,0.010826547110110399,,
73.0,,,,,0.012028212351895143
75.0,,,,0.013604852686308492,
78.5,,,,,0.013556714419868528
78.5,,0.01407701184194311,,,
79.0,0.009478985682552949,,,,
80.0,,,0.011818443318091195,,
82.56,,,,0.012582322357019064,
122.0,0.009149090589192636,,,,
136.8,,,0.011074521162105597,,
148.6,,,,,0.01401959413108487
166.5,,0.013746512956676638,,,
168.06,,,,0.013934142114384748,
