value,emory_probability,mimic_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
26.8,,,,,,0.013567484403979093
32,0.02045934530095037,,,,,
32.5,,,,,0.015724090000868735,
32.6,,,,,,0.027050665992244143
33.6,,,0.017765310892940627,,,
36,,,,0.02207911683532659,,
36.3,0.040753695881731784,,,,0.03179567370341413,
36.4,,,,,,0.040539116506491314
37.3,,,0.03482935951379149,,,
38,,0.016818262597541076,,,,
39,,,,0.04875804967801288,,
39.3,,,,,,0.05434897150564829
39.4,0.061444033790918694,,,,,
39.6,,,,,0.04795413083137868,
40.08,,,0.05165965404394577,,,
41,,,,0.07083716651333946,,
41.4,,,,,,0.06733687405159332
41.5,0.08170538542766631,,,,,
41.6,,,,,0.06263573972721745,
41.84,,,0.06895745675549322,,,
42,,0.03515517714913485,,0.08601655933762649,,
43,,,,0.10027598896044158,,
43.1,,,,,0.07827295630266702,
43.2,0.10160374868004224,,,,,
43.5,,,0.08625525946704067,,,
44,,0.0483868361956153,,,,
46,,0.0664814126694347,,,,
47,,0.0769019500137325,,,,
48.6,,,,,,0.13471063058506155
49,,,,0.20515179392824287,,
49.1,0.20261351636747624,,,,0.1573277734341065,
49.84,,,0.17040673211781207,,,
52,,0.14961952921789423,,,,
53.2,0.3019073389651531,,,,,0.202548052604957
53.3,,,,,0.2349057423334202,
53.9,,,0.25759700794763907,,,
54,,,,0.3104875804967801,,
55,,0.20963859314667915,,,,
56.8,0.4040720696937698,,,,,
56.9,,,,,,0.2703485921429776
57,,,,0.40018399264029436,0.31361306576318304,
57.2,,,0.34244974287050023,,,
58,,0.2824692634538023,,,,
60,0.5027719112988385,0.33893403557522983,0.42589995324918184,0.49402023919043236,0.3910172878116584,0.3356727364693981
62,,,,0.5901563937442502,,
62.3,0.5793954593453009,,,,,
62.4,,,0.49742870500233755,,,
63,,0.467518619642309,,,0.471201459473547,0.40545966110268084
64.8,0.6557220168954594,,,,,
64.9,,,0.5645161290322581,,,
65,,0.5346301113139571,,0.6646734130634775,,
65.8,,,,,0.5479975675440882,
65.9,,,,,,0.4729229893778452
67,,,,0.7166513339466422,,
67.3,,,0.6318373071528752,,,
67.5,0.7329065469904963,,,,,
68,,0.6366059744414108,,,,
68.6,,,,,0.6262705238467553,
68.8,,,,,,0.5400385685381892
70.5,,,0.6986909770920992,,,
70.7,0.8082761351636748,,,,,
71,,0.7300353813593551,,0.7994480220791168,,
71.7,,,,,0.7029797584918773,
71.8,,,,,,0.6084134210082617
75,0.8839427138331574,0.8228023975313827,0.7660121552127163,0.8606255749770009,0.7808183476674485,0.6752023267577137
76,,0.8596539412249382,,0.8882244710211592,,
76.7,0.9073719640971489,,,,,
77,,,,,0.8252106680566414,
78.4,,,0.8132304815334268,,,0.7412114314618108
79,0.9303392291446674,0.9037271596361698,,,,
79.5,,,,,0.8684736339153852,
80,,,,0.9185832566697332,,
81,,0.9277024734639805,,,,
82.2,0.9539664730728616,,,,,
82.4,,,0.8597475455820477,,,0.8051814618108245
83.1,,,,,0.9132134480062549,
84,,,,0.9471021159153634,,
86,,0.9636331324619933,,,,
87,,0.9733751231885228,,,,
87.4,,,,,,0.8697152672399258
87.6,,,0.9057971014492754,,,
87.9,0.9767357444561774,,,,,
88.3,,,,,0.9561289201633221,
89,,0.9812753445239673,,,,
90,,,,0.9701011959521619,,
90.18,,,,,0.9649031361306576,
90.28,0.981388595564942,,,,,
91,,0.9864775352601903,,,,
92.5,0.9860744456177403,,,,0.9738510989488316,
93,,,,0.9788408463661453,,
93.4,,,,,,0.9348918816388467
93.9,,,0.9525479195885928,,,
94,,,,0.9825206991720331,,
94.7,,,,,,0.9482907604113977
95,,0.9935699630030534,0.9628330995792427,,,
95.34,,,,,0.9824515680653289,
95.5,0.9907272967265047,,,,,
95.6,,,0.971715755025713,,,
96.1,,,,,,0.9613471589951105
96.3,,,0.9815334268349696,,,
97,,,,0.9908003679852806,,
97.1,,,0.9915848527349228,,,
97.5,,,,,,0.9740505395380206
97.7,0.9955451425554382,,,,,
98.1,,,1.0,,,
98.5,,,,,0.9913995308835027,
98.9,,,,,,0.9871859720114652
99,,,,0.9967801287948482,,
99.9,1.0,,,,,
100,,1.0,,1.0,1.0,1.0
