value,emory_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
30,0.009388820416153121,0.0068930041152263375,0.011456925590495593,0.002083422827441041,0.007942496326595449,0.009613265466757621,0.007367730493897472
55,,,0.13124029287774572,,,,0.12197126440924787
56,0.12204258198603156,,,,0.10845478733966085,0.12119431180143779,
58,,0.10697530864197531,,,,,
62,,,,0.09787791571802912,,,
69,,,0.24803840490550053,,0.19788729597712562,,0.2310021411115036
70,0.22872713212015758,,,,,0.2244004827622396,
73,,0.21207818930041153,,,,,
76,,,,0.19725933244555177,,,
83,,,0.36080238820420757,,,,0.33846863668149346
84,0.338601706179463,,,,0.2973670624677336,,
85,,,,,,0.3372618985149814,
86,,0.30703703703703705,,,,,
89,,,,0.2884574079642596,,,
99,,,0.46838251608608833,,,,
100,0.4463858478938592,,,,0.3876732457011239,0.4392296793829039,0.4489629667010302
102,,0.41144032921810697,,,,,
104,,,,0.3845096438850466,,,
120,0.5533966504748785,0.5064197530864197,0.5820541783488311,0.4730014175866661,0.48210952702434373,0.5453429186125833,0.5528897796169069
140,,,0.6660548238094277,,,,
141,,,,,,0.6363540956079131,
142,0.6446023345175089,,,,,,
143,,0.6061934156378601,,,,,0.6451810572909532
144,,,,0.5817045405730487,,,
148,,,,,0.5867519161272388,,
171,,,0.7507513564757852,,,,
172,,,,,,0.7270399328330797,
175,0.7332825829527054,,,,,,0.7323610620489788
177,,0.7048971193415637,,,,,
178,,,,0.6850594956828042,,,
192,,,,,0.689329256185219,,
223,,,0.8329568146519556,,,0.8183869444298683,
229,0.8212619927982793,,,,,,
231,,,,,,,0.8216317144031201
232,,0.8024897119341564,,0.7892735942265561,,,
270,,,,,0.7933759580636194,,
340,,,0.916352340803195,,,,
344,,,,,,0.9088523901978276,
354,,,,,,,0.9103328455155609
359,0.9104255781918364,0.9009465020576132,,,,,
367,,,,0.8943468362043043,,,
385,,,0.933204913568792,,,,
392,,,,,,0.9272708191215826,
405,,,,,,,0.9284565974349916
409,,0.920843621399177,,,,,
415,0.9283694627709708,,,,,,
424,,,,0.9155247218523133,,,
445,,,0.949976803759808,,,,
463,,,,,0.8964695603828283,0.9455947945636773,
480,,,,,,,0.9462415202612589
488,,0.9406172839506173,,,,,
490,0.9463012639261461,,,,,,
502,,,,0.9366381717427724,,,
539,,,0.9666175847671299,,,,
553.2,,,,,0.9171994757952424,,
588.4,,,,,,0.963540956079131,
602,,,,,,,0.9642571352360629
604,0.9643297324729936,,,,,,
613,,0.9605555555555556,,,,,
625,,,,0.9579449289058808,,,
659,,,,,0.9379691036892895,,
742.4,,,0.9832684510962745,,,,
814,0.9820923656927427,,,,,,
832,,,,,,0.9818124573647479,
838,,,,,0.9586195941384377,,
839,,0.9802057613168724,,,,,
855,,,,,,,0.9820853128401809
875,,,,0.9788865501095408,,,
1233.8,,,,,0.9792700845875859,,
2173,1.0,,,,,,
3897,,,,1.0,,,
4256,,,,,,1.0,
4948,,1.0,,,,,
4965,,,,,,,1.0
4975,,,,,1.0,,
4978,,,1.0,,,,
