value,sunnybrook_probability
13,0.020030221810440865
21,0.039839846464379075
28,0.058502365904503494
35,0.07838919956321763
41,0.09674288298423833
70,0.1912025853986742
97,0.2850335859170775
123,0.3773534959134377
150,0.4694638386111203
176,0.5574931339135039
205,0.643492935376063
239,0.7269117501075412
283,0.8131762681579034
350,0.898128233127075
374,0.9191621719996029
404,0.9389387070800658
448,0.9592115857626595
530,0.979462404729603
556,0.9836647805609786
589,0.987690678667152
640.6,0.9917827559202762
727.8,0.9958858630312255
1935,1.0
