value,emory_probability,nu_probability,rush_probability
0.9995,,0.058790904048807546,
2.4995,,,0.03837953091684435
2.5995,0.06568144499178982,,
4.5,,0.059345535219079315,
5.7,,,0.023454157782515993
6.1,0.0755336617405583,,
9.0,,0.06045479755962285,
9.2,,,0.031982942430703626
9.5,0.060755336617405585,,
13.5,0.060755336617405585,0.057681641708264,0.03411513859275053
18.0,0.060755336617405585,0.04492512479201331,0.0255863539445629
26.499499999999998,0.13793103448275862,,
27.499499999999998,,0.1464226289517471,
35.4995,,,0.15565031982942432
41.0,0.13628899835796388,,
44.5,,0.14753189129229063,
56.5,0.13793103448275862,,
57.9,,,0.14072494669509594
66.0,,0.1408763172490294,
74.4,0.12807881773399016,,
74.4,,,0.1535181236673774
86.6995,0.027914614121510674,,
92.6,0.026272577996715927,,
96.5,,0.13754853022739877,
99.5,0.027914614121510674,,
105.0,,,0.23880597014925373
107.6,0.027914614121510674,,
117.4995,,0.05268996117581808,
121.1,,0.006100942872989462,
121.5,0.026272577996715927,,
128.1,,0.03050471436494731,
132.9995,,,0.15778251599147122
137.0,,0.03050471436494731,
145.5,,0.026622296173044926,
