value,emory_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
0.29,,,,,0.19070817490494296,,
0.3,0.0775128894372714,0.11369225037257824,0.07100990618153218,0.09335794082422005,,0.10006024269198772,0.0781661154231098
0.4,0.20190146741285858,0.23381147540983607,0.19545514128948896,0.2220564270708578,,0.22382550656454095,0.2183653584850634
0.41,,,,,0.3062816856780735,,
0.5,0.266348653769885,0.28550670640834575,0.2683189453381023,0.289792472463825,,0.2853686757126328,0.29588854054125713
0.53,,,,,0.3951204055766793,,
0.64,,,,,0.4629277566539924,,
0.7,0.3711717269642621,0.36721311475409835,0.38564820883504053,0.39709029509355426,,0.39257198045459324,0.4189671971419292
0.88,,,,,0.5554499366286438,,
0.9,0.4507116732031904,0.4225409836065574,0.47036572348832417,0.4737007441148175,,0.4678944701033688,0.5040199905879857
1.17,,,,,0.6321292775665399,,
1.2,0.5321024104349359,0.4827496274217586,0.5587816707552293,0.549270610409754,,0.5443261902712834,0.5866534986843065
1.6,,,0.6540326960169285,,,,0.6826759284421791
1.7,0.6401974177059006,,,0.6408615239628531,0.7086501901140685,0.6421297225967469,
1.9,,0.5880961251862892,,,,,
2.3,,,,,,,0.7575080698079817
2.5,,,0.7390030149248141,,,,
2.6,0.7234940289957256,,,,,,
2.63,,,,,0.7812896070975919,,
2.8,,,,,,0.7284393317842356,
3,,,,0.7340034947872696,,,
3.6,,0.6925856929955291,,,,,
4,,,,,,,0.8362508368076038
4.6,,,0.8243384955337915,,,,
4.62,,,,,0.8529388466413181,,
4.8,0.8128497774644163,,,,,,
5.5,,,,,,0.8179427598802796,
5.9,,,,0.819468713800483,,,
7.3,,0.7929769001490313,,,,,
9.6,,,,,,,0.916809724864288
10.65,,,,,0.9260931558935361,,
11.9,,,0.9113874272017378,,,,
12.1,,,,,,,0.9336386714477931
12.5,0.9062926893755784,,,,,,
12.64,,,,,0.9410250316856781,,
14,,,,,,0.9087944767970012,
14.6,,,0.929383344881182,,,,
14.98,,,,,0.9556796577946768,,
15.4,0.9253734631824792,,,,,,
15.5,,,,,,,0.9503681953456927
15.6,,,,0.909783440991106,,,
16.6,,0.896553651266766,,,,,
17,,,,,,0.9272210906795949,
17.49,,,,,0.9704531051964512,,
18.5,,,0.9471264583060243,,,,
18.7,,,,0.9283961282469126,,,
19.2,0.944068655532543,,,,,,
19.6,,0.9177533532041728,,,,,
20.3,,,,,,,0.9668723611562196
20.8,,,,,,0.9455616435736347,
22.17,,,,,0.9855038022813688,,
22.7,,,,0.9460860345944673,,,
23,,0.9379470938897169,,,,,
23.2,,,0.9646635830789686,,,,
23.8,0.9628740140131318,,,,,,
24.5,,,,,,0.9637874484829361,
27,,,,0.9641882473052834,,,
27.4,,,,,,,0.9834892060104328
27.6,,0.9588673621460506,,,,,
30.7,,,,,,0.9819654417319296,
32.7,,,0.9823411546600251,,,,
33,,,,0.9821137572889875,,,
33.8,0.9813158242629886,,,,,,
34.1,,0.9795827123695976,,,,,
44.93,,,,,1.0,,
67.2,1.0,,,,,,
71.1,,,,,,1.0,
76.4,,,,1.0,,,
78.6,,1.0,,,,,
79.7,,,,,,,1.0
79.8,,,1.0,,,,
