value,emory_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
0.05,,,,,0.1871945701357466,
0.18,,,,,0.36049773755656106,
0.683,,,,,0.5397737556561086,
3.454,,,,,0.719502262443439,
10,,,0.09702258726899383,,,
11,,0.045498335960763706,0.10138603696098562,,,
12,0.04014966182184487,,,,,0.03706720977596741
18,0.07418333573175996,,,,,
20,,0.10789980732177264,0.165041067761807,,,0.07535641547861507
25,0.11145488559504965,,,,,
26,,0.13544403573305308,,,,0.1120162932790224
30,,,0.21573408624229978,,,
32,0.1463519930925313,,,,,
33,,,,,,0.15030549898167006
34,,0.1833946400420389,,,,
40,0.17988199740969923,0.22411981082501314,0.2532084188911704,,0.8994117647058824,0.18167006109979633
59.572,,,,,0.9157013574660634,
80,,0.37953231739358906,,,,
89,,,,,,0.34826883910386963
89.659,,,,,0.931945701357466,
95.5,,,0.4027207392197125,,,
101,0.34616491581522524,,,,,
126.822,,,,,0.9482352941176471,
171,,0.534769661937292,,,,
200,,,,,0.9795927601809955,
205.14,,,0.551976386036961,,,
208,,,,,,0.5107942973523422
252,0.5079867606849906,,,,,
422,,0.6898756349623402,,,,
440,,,,,1.0,
460,,,0.7037987679671458,,,
525,,,,,,0.6729124236252546
538,,,,1.0,,
709,0.6721110951216003,,,,,
1429,,0.8448064459625153,,,,
1432.84,,,0.8506160164271047,,,
1539.4,,,,,,0.8362525458248472
1873.72,,,0.8805184804928131,,,
1952,,0.8758977053774741,,,,
2018.4,,,,,,0.8692464358452139
2112,0.8359476183623543,,,,,
2588.48,,,0.9104209445585215,,,
2655.2,,0.9069013837799965,,,,
2752.4,0.8687580946898834,,,,,
2933.2,,,,,,0.9018329938900204
3602.8,0.9015685710174126,,,,,
3810,,0.9379926431949553,,,,
3810.56,,,0.9401950718685832,,,
4121,,,,,,0.9344195519348268
4842,0.9344510001439056,,,,,
5833,,0.9689963215974776,,,,
6110,,,0.9702258726899384,,,
6347.6,,,,,,0.9670061099796334
6858,0.9672614764714348,,,,,
9982.9,,,1.0,,,
9991,,,,,,1.0
9995,1.0,,,,,
10000,,1.0,,,,
