value,emory_probability,mimic_probability,nu_probability,rush_probability,upenn_probability
14.9995,,0.017892714435577977,,,
21.4995,,,,,0.01412265428516154
21.9995,0.012277871225384185,,,,
26.9995,,,,0.01183658581068758,
27.4995,,,0.012327252907346941,,
31.0,0.01452061377913563,,,,
32.0,,0.01969023680147102,,,
34.5,0.011991807124140377,,,,
35.0,,0.013513832081943445,,,
37.0,0.008204318423672377,0.01462770659720176,,,
39.0,,0.014892914815120405,,,
39.5,0.011717185586946323,,,,
46.0,,0.07039804806751612,,,
47.0,,,,,0.014593905481891553
47.0,,,,0.012420207915374794,
49.0,0.056331742816930416,,,,
51.0,,,0.011379786361575647,,
52.0,,,,0.013496261170891848,
53.0,,,,,0.014445089314503128
54.5,,,0.013096432737516109,,
55.0,,,,0.008681378807222324,
56.0,,,,,0.0103278420167567
57.0,,,0.011196405739813462,,
57.0,,,,0.010687579792084624,
58.0,,,,,0.012703940156058554
58.5,,0.07289100531595138,,,
58.55,,,0.006846209879121607,,
61.5,,,,0.052325369323363125,
62.0,0.057613309990502674,,,,
62.5,,,,,0.06602477293133126
62.55,,,0.061009714079047234,,
68.0,,,,0.05963888382272479,
68.5,,,0.055212848868898136,,0.06016472296216928
69.5,,0.0825681585120051,,,
70.5,0.05530191205245271,,,,
73.5,,,0.05739304070540412,0.05455042859748313,0.06593052269198525
77.0,0.051262686942890164,0.0645870413371209,,,
78.0,,,0.04519822935821876,0.042732080977567026,0.05166235926537726
81.4995,,0.04443711029125756,0.042997661897072534,0.040707641801933245,0.049742630706066576
81.9995,0.04306981108326754,,,,
85.0,,0.04459623522200874,0.04104669583776928,0.038099580521612254,0.04689528137003471
86.0,0.034362019841406063,,,,
89.0,,0.0416612642770424,0.03895819431214438,0.03660404887835127,0.04382636129589119
90.0,0.03287448651493827,,,,
93.0,,,,0.03343060368411454,
93.5,,0.04759014132651257,0.04535614044918065,,0.049499564299332145
94.0,0.03223370292815214,,,,
97.5,,,,0.03707824183840963,
98.0,0.031180987035574932,0.03632763233890074,0.03361468675024069,,0.03572414773807693
104.9995,,0.08772498497153432,,,
105.9995,,,,,0.09785655113571538
106.9995,,,0.10966670571994723,,
107.4995,0.11312118819585093,,,,
108.4995,,,,0.11282144811234726,
116.5,,0.08295123704899869,,,
120.0,,,,,0.08902183133175588
122.5,,,0.10191887445049487,,
125.5,0.10984861487762178,,,,
128.0,,,,0.1079518511763633,
132.5,,0.07777083652565447,,,
140.5,,,,,0.09320356563537063
141.5,,,0.10346232801699327,,
146.5,0.10800636206561166,,,,
153.5,,,,0.10857194966259347,
161.5,,0.08247975577269888,,,
169.0,,,0.10397171863299934,,
178.5,0.10579794720400948,,,,
188.9995,,0.016796520468180906,,,
190.5,,,,,0.09133840300410237
193.4995,,,0.02164910118025806,,
195.5,,,,0.10800656574867773,
208.4995,0.022107033744121384,,,,
212.0,,0.01666096960124471,,,
213.5,,,0.02060485041744561,,
231.4,0.02200405066767361,,,,
235.4995,,,,0.02214116359657122,
246.5,,,0.02132309118601417,,
254.5,,0.016743478824597178,,,
256.4995,,,,,0.018620209566233944
266.5,,,,0.02254240379354368,
268.4,0.022129918872220888,,,,
297.5,,,0.020722010259127007,,
311.0,,,,0.021594017873426956,
321.0,,,,,0.018563990125220538
321.5,,0.016631502021475973,,,
325.5,0.022164246564370143,,,,
374.5,,,,0.022031734451942366,
388.5,,,,,0.018769025733622366
445.0,0.02187818246312634,,,,
450.0,,,,,0.01867312198130538
507.05,,,0.02104802025337089,,
523.5,,0.01656667334598475,,,
534.0,,,,0.02204997264271384,
585.0,,,,,0.01828950697203744
