value,mimic_probability,nu_probability,umn_probability,upenn_probability
6.999499999999999,,,0.008272276057669581,
7.499499999999999,,,,0.013352620451763659
9.5,,,0.005278499960608209,
10.0,,,,0.006453766551685768
11.999500000000001,,0.19818652849740934,,
12.0,,,0.005357283542109824,0.007566484922666073
13.5,,,0.0014181044670290711,0.004673417158117281
30.9995,,0.16191709844559585,,
33.4995,,,,0.1981751418715923
39.9995,0.22457807403205218,,,
44.4995,,,0.19624990152052313,
82.5,,0.16062176165803108,,
82.5,,,,0.19105374429731836
100.0,0.19160402779747554,,,
162.0,,,0.19593476719451666,
180.0,,,,0.19138755980861244
183.6,,0.15803108808290156,,
230.0,0.18529286626010494,,,
477.5,,,,0.19350172471347502
504.79999999999995,,0.16062176165803108,,
654.0,0.19848248475393562,,,
667.2,,,0.1956196328685102,
833.6995,,,,0.038833871147212644
881.4995,,0.03367875647668394,,
1164.9995,0.0405616224648986,,,
1215.6,,,,0.03872259931011461
1241.0,,0.031088082901554404,,
1560.0,0.03985250319103673,,,
1916.4,,,,0.03872259931011461
2032.0,,0.031088082901554404,,
2200.0,0.039639767408878174,,,
3156.3,,,0.19593476719451666,
3445.0,0.0399943270458091,,,
3503.0,,0.03238341968911917,,
3642.9,,,,0.03872259931011461
6207.7995,,,0.039234223587804304,
6967.0,,0.03238341968911917,,
7135.0,0.0399943270458091,,,
7461.9,,,,0.038833871147212644
8593.8,,,0.15670054360671237,
