value,emory_probability,nu_probability,rush_probability,umn_probability,upenn_probability
10.4995,,,,,0.0011475632381555726
18.4995,,,,0.0007146371751915462,
21.499499999999998,,,0.0024702314917535687,,
22.5,,,,,0.0012235847775917462
27.0,,,0.0010995241969282352,,
31.5,,,,,0.0010353409656545544
32.5,,,,0.0007556409475386021,
34.0,,,0.0012770258610063359,,
34.4995,0.009881422924901186,,,,
37.5,,,,,0.0011204126883569393
39.0,,,0.001094593595148288,,
40.5,,,,0.0006941352890180182,
42.0,,,,,0.001093262138558306
45.0,,,,0.0006853487663722206,
48.0,,,0.0063308926854522595,,
48.5,,,,0.00066191803931676,
50.0,,,,,0.005504321462509616
50.1,0.007905138339920948,,,,
54.5,,,,0.0036903395112350334,
58.5,,,0.005744151073638537,,
59.5,,,,,0.005812027693560795
60.6,0.01383399209486166,,,,
61.5,,,,0.0035643993533119333,
63.9,0.001976284584980237,,,,
64.5,,,0.006700687818948303,,
65.0,,,,,0.0050065613828680034
66.0,,,,0.00398322359942829,
67.4,0.009881422924901186,,,,
68.5,,,,,0.004968550613149917
68.5,,,0.004960185390626926,,
69.0,,,,0.0023870053187750417,
75.9995,,,0.033286492616423836,,
76.4995,,,,,0.03311643060771981
76.89949999999999,0.041501976284584984,,,,
77.4995,,,,0.03704690831556503,
86.5,,,0.033375243448462884,,
86.69999999999999,0.041501976284584984,,,,
87.5,,,,,0.03157065930585094
89.5,,,,0.03849961339300358,
93.3,0.043478260869565216,,,,
94.5,,,0.03115154204570668,,
95.5,,,,,0.029994117380876963
97.0,,,,0.034118067433632465,
101.1,0.039525691699604744,,,,
101.5,,,0.034696644725488744,,
102.0,,,,,0.030213131815919274
103.0,,,,0.04102720307411139,
107.5,,,0.027739565613983188,,0.02866736051405041
107.6,0.041501976284584984,,,,
108.0,,,,0.03142646266313644,
118.4995,,,,0.16895604395604397,
119.4995,0.1541501976284585,,,,
121.4995,,,0.16345437960703105,,0.16539933933662157
134.5,,,,0.15109304341713722,
140.5,0.1482213438735178,,,,
142.5,,,0.15977122007741046,,
143.5,,,,,0.16399294085705235
151.5,,,,0.16172180697767052,
163.0,,,0.16655572812661784,,
164.5,0.15019762845849802,,,,
165.5,,,,,0.16103896103896104
177.0,,,,0.15725825347360528,
192.5,,,0.15636910484924685,,
194.5,,,,,0.16289967871849406
196.7,0.14624505928853754,,,,
197.9995,,,,0.03264193162913845,
210.5,,,,0.03366702593781485,
216.9995,,,,,0.03349110819494095
217.4995,,,0.03297093410250721,,
222.9995,0.03162055335968379,,,,
228.0,,,,0.031080859439068395,
229.0,,,,,0.0330476492148966
233.5,,,0.03304982373098637,,
234.5,0.029644268774703556,,,,
246.5,,,,,0.034403366668175034
252.5,0.029644268774703556,,,,
256.0,,,,0.032460343494458636,
257.0,,,0.0329807953060671,,
274.5,,,,,0.03224942305081678
285.0,,1.0,,,
287.0,0.029644268774703556,,,,
294.0,,,0.03221655203017528,,
419.0,0.029644268774703556,,,,
437.0,,,,0.03186578879542632,
508.5,,,0.03270468160639006,,
559.0,,,,,0.03300420833521879
