Metric,Value__Emory,Value__JHU,Value__MIMIC,Value__NU,Value__OHSU,Value__RUSH,Value__Sunnybrook,Value__UCMC,Value__UCSF,Value__UMN,Value__UPenn,Value__ALL
Total hospitalizations,28864,41617,13900,57778,27439,13850,15894,18467,27229,54583,57450,357071
Total comorbidities across all patients,77344,101870,29799,150107,55257,44914,41775,42855,74416,126624,139158,884119
Average comorbidities per hospitalization,2.68,2.45,2.14,2.60,2.01,3.24,2.63,2.32,2.73,2.32,2.42,
Most common comorbidity,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,cerebrovascular_disease,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,
Most common: per 1000 hospitalizations,460.0,393.9,354.0,402.6,292.5,429.2,452.6,415.6,372.4,357.1,451.6,
