comorbidity,n_patients__Emory,n_patients__JHU,n_patients__MIMIC,n_patients__NU,n_patients__OHSU,n_patients__RUSH,n_patients__Sunnybrook,n_patients__UCMC,n_patients__UCSF,n_patients__UMN,n_patients__UPenn,n_patients__ALL,prevalence_percent__Emory,prevalence_percent__JHU,prevalence_percent__MIMIC,prevalence_percent__NU,prevalence_percent__OHSU,prevalence_percent__RUSH,prevalence_percent__Sunnybrook,prevalence_percent__UCMC,prevalence_percent__UCSF,prevalence_percent__UMN,prevalence_percent__UPenn,prevalence_percent__ALL,per_1000_hospitalizations__Emory,per_1000_hospitalizations__JHU,per_1000_hospitalizations__MIMIC,per_1000_hospitalizations__NU,per_1000_hospitalizations__OHSU,per_1000_hospitalizations__RUSH,per_1000_hospitalizations__Sunnybrook,per_1000_hospitalizations__UCMC,per_1000_hospitalizations__UCSF,per_1000_hospitalizations__UMN,per_1000_hospitalizations__UPenn,per_1000_hospitalizations__ALL
congestive_heart_failure,13278,16393,4921,23261,8025,5945,3996,7675,10140,19492,25947,139073,46.0,39.39,35.4,40.26,29.25,42.92,25.14,41.56,37.24,35.71,45.16,38.948276,460.0,393.9,354.0,402.6,292.5,429.2,251.4,415.6,372.4,357.1,451.6,389.482764
renal_disease,11408,14172,3553,18937,5553,5521,2725,6119,9919,16961,18873,113741,39.52,34.05,25.56,32.78,20.24,39.86,17.14,33.13,36.43,31.07,32.85,31.853889,395.2,340.5,255.6,327.8,202.4,398.6,171.4,331.3,364.3,310.7,328.5,318.53889
diabetes_with_complications,7679,9726,2277,11715,3821,3978,0,3651,4218,10060,10967,68092,26.6,23.37,16.38,20.28,13.93,28.72,0.0,19.77,15.49,18.43,19.09,19.069597,266.0,233.7,163.8,202.8,139.3,287.2,0.0,197.7,154.9,184.3,190.9,190.695968
chronic_pulmonary_disease,7654,11192,3238,14927,6520,3971,3717,4845,7032,14891,14957,92944,26.52,26.89,23.29,25.84,23.76,28.67,23.39,26.24,25.83,27.28,26.03,26.029557,265.2,268.9,232.9,258.4,237.6,286.7,233.9,262.4,258.3,272.8,260.3,260.295571
peripheral_vascular_disease,7049,7582,1924,14881,4528,4178,4018,2088,6733,10498,15060,78539,24.42,18.22,13.84,25.76,16.5,30.17,25.28,11.31,24.73,19.23,26.21,21.995345,244.2,182.2,138.4,257.6,165.0,301.7,252.8,113.1,247.3,192.3,262.1,219.953455
cerebrovascular_disease,5588,6274,1856,12607,4628,4635,7193,3550,7504,8846,9338,72019,19.36,15.08,13.35,21.82,16.87,33.47,45.26,19.22,27.56,16.21,16.25,20.169378,193.6,150.8,133.5,218.2,168.7,334.7,452.6,192.2,275.6,162.1,162.5,201.693781
myocardial_infarction,5447,10269,3504,10984,4186,4807,3771,2790,5418,11480,9585,72241,18.87,24.68,25.21,19.01,15.26,34.71,23.73,15.11,19.9,21.03,16.68,20.231551,188.7,246.8,252.1,190.1,152.6,347.1,237.3,151.1,199.0,210.3,166.8,202.315506
diabetes_uncomplicated,4397,6336,2368,8299,4163,1714,5459,2582,4773,8841,8690,57622,15.23,15.22,17.04,14.36,15.17,12.38,34.35,13.98,17.53,16.2,15.13,16.137407,152.3,152.2,170.4,143.6,151.7,123.8,343.5,139.8,175.3,162.0,151.3,161.374068
cancer,2557,3992,1145,7675,3486,1934,322,1618,3742,5393,5501,37365,8.86,9.59,8.24,13.28,12.7,13.96,2.03,8.76,13.74,9.88,9.58,10.464305,88.6,95.9,82.4,132.8,127.0,139.6,20.3,87.6,137.4,98.8,95.8,104.643054
mild_liver_disease,2448,3603,843,4289,2056,1744,742,1120,2602,4508,4199,28154,8.48,8.66,6.06,7.42,7.49,12.59,4.67,6.06,9.56,8.26,7.31,7.884706,84.8,86.6,60.6,74.2,74.9,125.9,46.7,60.6,95.6,82.6,73.1,78.847064
metastatic_solid_tumor,2134,3499,743,6668,2218,1669,5536,1500,2767,3034,4104,33872,7.39,8.41,5.35,11.54,8.08,12.05,34.83,8.12,10.16,5.56,7.14,9.486069,73.9,84.1,53.5,115.4,80.8,120.5,348.3,81.2,101.6,55.6,71.4,94.860686
dementia,1987,388,734,2888,798,728,1586,915,1219,2322,2249,15814,6.88,0.93,5.28,5.0,2.91,5.26,9.98,4.95,4.48,4.25,3.91,4.428811,68.8,9.3,52.8,50.0,29.1,52.6,99.8,49.5,44.8,42.5,39.1,44.288111
moderate_severe_liver_disease,1690,2699,1021,3285,1706,1424,137,1334,2851,3606,2802,22555,5.86,6.49,7.35,5.69,6.22,10.28,0.86,7.22,10.47,6.61,4.88,6.316671,58.6,64.9,73.5,56.9,62.2,102.8,8.6,72.2,104.7,66.1,48.8,63.166709
