,Non-Hispanic,Non-Hispanic,Non-Hispanic,Hispanic,Hispanic,Hispanic,Unknown,Unknown,Unknown,Total
,Female,Male,Unknown,Female,Male,Unknown,Female,Male,Unknown,Unnamed: 10_level_1
American Indian or Alaska Native,791,852,0,65,73,0,17,14,0,1812
Asian,5770,7792,0,60,87,0,179,316,0,14204
Native Hawaiian or Other Pacific Islander,368,426,0,29,49,0,0,10,0,882
Black or African American,22270,23752,0,149,163,0,791,994,0,48119
White,66775,94378,0,2801,3737,0,1808,2862,0,172361
Other,1868,2795,0,3958,5523,0,579,969,0,15692
Unknown,1093,1746,0,432,691,0,8736,15269,33,28000
Total,98935,131741,0,7494,10323,0,12110,20434,33,332278
