,Non-Hispanic,Non-Hispanic,Hispanic,Hispanic,Total
,Female,Male,Female,Male,
Asian,6752,9671,68,103,16594
Black or African American,34879,36764,234,242,72119
White,88011,127440,3058,4578,223087
Other,5200,7385,5321,8392,26298
Total,134842,181260,8681,13315,338098
