Metric,Value__Emory,Value__JHU,Value__MIMIC,Value__NU,Value__OHSU,Value__RUSH,Value__Sunnybrook,Value__UCMC,Value__UCSF,Value__UMN,Value__UPenn,Value__ALL
Total hospitalizations,45557,80073,21388,57260,30537,23297,12570,28767,33378,111744,91167,535738
Total comorbidities across all patients,118852,189147,44516,155062,59775,71232,22961,65421,86497,260015,222164,1295642
Average comorbidities per hospitalization,2.61,2.36,2.08,2.71,1.96,3.06,1.83,2.27,2.59,2.33,2.44,
Most common comorbidity,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,metastatic_solid_tumor,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,
Most common: per 1000 hospitalizations,490.8,412.5,330.5,448.7,296.5,446.9,339.8,457.1,343.7,397.0,474.4,
