Variable,Overall__Emory,Overall__JHU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UMN,Overall__UPenn,Overall__ALL
  Mild Liver Disease,486 (10.4%),950 (9.7%),189 (10.7%),207 (14.9%),77 (6.0%),233 (6.0%),816 (10.2%),644 (9.4%),"3,602 (9.6%)"
  Cancer,420 (9.0%),748 (7.7%),184 (10.4%),204 (14.7%),27 (2.1%),218 (5.7%),764 (9.5%),729 (10.6%),"3,294 (8.8%)"
  Metastatic Solid Tumor,418 (8.9%),837 (8.6%),130 (7.3%),179 (12.9%),539 (41.7%),278 (7.2%),602 (7.5%),711 (10.3%),"3,694 (9.8%)"
  Moderate Severe Liver Disease,243 (5.2%),494 (5.1%),115 (6.5%),90 (6.5%),<10,155 (4.0%),496 (6.2%),401 (5.8%),"1,994 (5.5%)"
  Hemiplegia,197 (4.2%),473 (4.9%),82 (4.6%),82 (5.9%),,622 (16.1%),344 (4.3%),295 (4.3%),"2,095 (5.8%)"
  Connective Tissue Disease,194 (4.1%),327 (3.4%),68 (3.8%),63 (4.5%),18 (1.4%),78 (2.0%),398 (5.0%),254 (3.7%),"1,400 (3.7%)"
  Peptic Ulcer Disease,142 (3.0%),324 (3.3%),49 (2.8%),43 (3.1%),42 (3.2%),133 (3.5%),278 (3.5%),197 (2.9%),"1,208 (3.2%)"
  Aids,88 (1.9%),,16 (0.9%),17 (1.2%),186 (14.4%),43 (1.1%),14 (0.2%),51 (0.7%),415 (1.5%)
SOFA Scores,,,,,,,,,
"  Total SOFA score, median [Q1, Q3]","8.0 [5.0, 11.0]","8.0 [6.0, 11.0]","7.0 [5.0, 10.0]","6.0 [4.0, 9.0]","6.0 [4.0, 8.0]","9.0 [6.0, 12.0]","7.0 [5.0, 10.0]","7.0 [4.0, 10.0]","7.5 [4, 12]"
"    Respiratory, median [Q1, Q3]","0.0 [0.0, 0.0]","0.0 [0.0, 2.0]","0.0 [0.0, 0.0]","0.0 [0.0, 1.0]","0.0 [0.0, 2.0]","1.0 [0.0, 3.0]","0.0 [0.0, 2.0]","0.0 [0.0, 0.0]","0.1 [0, 3]"
"    Coagulation, median [Q1, Q3]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0 [0, 1]"
"    Liver, median [Q1, Q3]","0.0 [0.0, 1.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 1.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0 [0, 1]"
"    Cardiovascular, median [Q1, Q3]","4.0 [3.0, 4.0]","4.0 [3.0, 4.0]","3.0 [3.0, 4.0]","3.0 [1.0, 4.0]","1.0 [1.0, 1.0]","4.0 [1.0, 4.0]","3.0 [3.0, 4.0]","3.0 [1.0, 4.0]","3.4 [1, 4]"
"    CNS, median [Q1, Q3]","1.0 [0.0, 3.0]","2.0 [0.0, 3.0]","1.0 [0.0, 3.0]","0.0 [0.0, 1.0]","3.0 [1.0, 4.0]","3.0 [1.0, 4.0]","1.0 [0.0, 3.0]","1.0 [0.0, 3.0]","1.5 [0, 4]"
"    Renal, median [Q1, Q3]","1.0 [0.0, 2.0]","1.0 [0.0, 2.0]","1.0 [0.0, 3.0]","1.0 [0.0, 2.0]","0.0 [0.0, 1.0]","1.0 [0.0, 2.0]","1.0 [0.0, 2.0]","1.0 [0.0, 2.0]","1.0 [0, 3]"
"  P/F ratio, median [Q1, Q3]","156 [86, 275]","188 [107, 298]","205 [106, 338]","277 [151, 410]","254 [164, 347]","222 [129, 330]","188 [115, 284]","195 [108, 329]","195.1 [86, 410]"
"  P/F ratio (imputed), median [Q1, Q3]","91 [53, 151]","91 [55, 153]","132 [69, 203]","151 [88, 213]","137 [84, 202]","98 [59, 142]","94 [57, 147]","118 [67, 177]","103.0 [53, 213]"
"CRRT, n (%)",754 (16.1%),938 (9.6%),129 (7.3%),279 (20.1%),73 (5.6%),678 (17.6%),458 (5.7%),673 (9.8%),"3,982 (10.6%)"
"Sepsis events (CDC ASE), n","5,224","6,463,913","2,521","1,852",612,"4,582","2,413","8,475","6,489,592"
"Encounters with >=1 sepsis event, n (%)","2,605 (55.7%)","6,604 (67.7%)","1,022 (57.6%)",788 (56.9%),403 (31.2%),"2,379 (61.8%)","1,245 (15.6%)","4,523 (65.8%)","19,569 (52.0%)"
"Invasive mechanical ventilation, n (%)","2,213 (47.3%)","4,915 (50.4%)",693 (39.1%),559 (40.3%),13 (1.0%),"2,738 (71.1%)","3,328 (41.6%)","3,544 (51.5%)","18,003 (47.9%)"
Ventilator hours (millions),0.30,0.67,0.07,0.06,,0.41,0.42,0.52,2
  First location at IMV start: ed,"1,578 (71.3%)","3,232 (65.8%)",298 (43.0%),322 (57.6%),<10,"1,785 (65.2%)","1,612 (48.4%)","2,042 (57.6%)","10,869 (60.4%)"
  First location at IMV start: icu,537 (24.3%),"1,568 (31.9%)",330 (47.6%),212 (37.9%),<10,915 (33.4%),"1,549 (46.5%)","1,417 (40.0%)","6,528 (36.3%)"
  First location at IMV start: ward,62 (2.8%),12 (0.2%),<10,<10,<10,<10,<10,<10,
  First location at IMV start: stepdown,,11 (0.2%),<10,,,,<10,,
  First location at IMV start: procedural,34 (1.5%),92 (1.9%),62 (8.9%),18 (3.2%),,29 (1.1%),158 (4.7%),78 (2.2%),471 (2.6%)
  First location at IMV start: radiology,<10,,,,,,,,
  First location at IMV start: hospice,<10,,,<10,,,,,
  Initial ventilator mode: pressure-regulated volume control,"1,555 (70.3%)","1,407 (28.6%)",55 (7.9%),306 (54.7%),,<10,47 (1.4%),,"3,370 (28.7%)"
  Initial ventilator mode: assist control-volume control,504 (22.8%),"3,282 (66.8%)",508 (73.3%),154 (27.5%),12 (92.3%),"2,581 (94.3%)","3,183 (95.6%)","3,313 (93.5%)","13,537 (75.2%)"
  Initial ventilator mode: pressure support/cpap,62 (2.8%),50 (1.0%),68 (9.8%),<10,,45 (1.6%),16 (0.5%),84 (2.4%),325 (1.9%)
  Initial ventilator mode: Missing,34 (1.5%),,<10,<10,,21 (0.8%),18 (0.5%),24 (0.7%),97 (0.8%)
  Initial ventilator mode: pressure control,32 (1.4%),26 (0.5%),42 (6.1%),83 (14.8%),<10,45 (1.6%),32 (1.0%),29 (0.8%),289 (1.6%)
  Initial ventilator mode: simv,14 (0.6%),128 (2.6%),<10,<10,,15 (0.5%),12 (0.4%),83 (2.3%),252 (1.5%)
  Initial ventilator mode: other,11 (0.5%),10 (0.2%),<10,<10,,23 (0.8%),<10,11 (0.3%),55 (0.4%)
  Initial ventilator mode: blow by,<10,<10,,,,,<10,,
  Initial ventilator mode: aprv,,,,,,,<10,,
  Initial ventilator mode: volume support,,<10,<10,,,,,,
"  FiO2 (%), median [Q1, Q3]","0.3 [0.3, 0.4]","0.3 [0.3, 0.4]","0.3 [0.2, 0.4]","0.3 [0.3, 0.4]","0.3 [0.3, 0.3]","0.4 [0.4, 0.4]","0.4 [0.3, 0.4]","0.4 [0.3, 0.4]","0.3 [0.2, 0.4]"
"  PEEP (cmH2O), median [Q1, Q3]","6.0 [6.0, 6.0]","5.0 [5.0, 5.0]","5.0 [5.0, 7.0]","8.0 [8.0, 8.0]","5.0 [5.0, 8.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.3]","5.2 [5, 8]"
"  Respiratory rate (breaths/min), median [Q1, Q3]","18.0 [18.0, 20.0]","18.0 [16.2, 20.0]","18.0 [16.0, 18.0]","18.0 [16.0, 20.0]","16.0 [0.0, 20.0]","16.0 [15.0, 18.0]","16.0 [16.0, 18.0]","22.0 [20.0, 25.0]","18.0 [0, 25]"
"  Tidal volume (mL), median [Q1, Q3]","400.0 [400.0, 410.0]","400.0 [400.0, 405.0]","450.0 [450.0, 450.0]","400.0 [390.0, 400.0]","410.0 [410.0, 420.0]","430.0 [420.0, 450.0]","450.0 [450.0, 453.8]","420.0 [410.0, 430.0]","420.1 [390, 453.8]"
"Time to extubation (hrs), median [Q1, Q3]","65.8 [33.6, 125.0]","69.3 [37.1, 146.3]","48.5 [20.3, 102.3]","48.5 [23.4, 104.6]","46.5 [24.1, 68.9]","53.6 [25.8, 114.0]","69.5 [33.0, 143.8]","62.8 [31.0, 128.5]","63.6 [20.3, 146.3]"
  Extubation outcome: extubated,"1,036 (46.8%)","2,307 (46.9%)",403 (58.2%),280 (50.1%),<10,"1,014 (37.0%)","1,566 (47.1%)","1,650 (46.6%)","8,256 (45.9%)"
  Extubation outcome: death_on_imv,910 (41.1%),"2,045 (41.6%)",226 (32.6%),192 (34.3%),<10,"1,186 (43.3%)","1,199 (36.0%)","1,457 (41.1%)","7,215 (40.1%)"
  Extubation outcome: discharged_on_imv,213 (9.6%),464 (9.4%),54 (7.8%),79 (14.1%),<10,452 (16.5%),490 (14.7%),336 (9.5%),"2,088 (11.6%)"
  Extubation outcome: failed_attempt,54 (2.4%),87 (1.8%),10 (1.4%),<10,,86 (3.1%),73 (2.2%),101 (2.8%),411 (2.3%)
  Extubation outcome: unknown,,12 (0.2%),,,,,,,12 (0.2%)
"Pre-admit IMV (excluded from time-to-extubation), n (%)","1,019 (21.8%)","2,234 (22.9%)",325 (18.3%),213 (15.4%),<10,854 (22.2%),"1,208 (15.1%)","1,192 (17.3%)","7,045 (19.4%)"
"Intubated ≤24hr of admission, n (%)",505 (10.8%),"1,371 (14.1%)",184 (10.4%),157 (11.3%),<10,"1,051 (27.3%)","1,028 (12.8%)","1,278 (18.6%)","5,574 (15.3%)"
"Reintubation (≥2 IMV episodes), n (%)",356 (7.6%),421 (4.3%),62 (3.5%),68 (4.9%),<10,282 (7.3%),277 (3.5%),454 (6.6%),"1,920 (5.3%)"
"  Time to reintubation (hrs), median [Q1, Q3]","5.0 [2.8, 32.5]","31.3 [6.0, 106.5]","58.3 [13.0, 155.9]","29.5 [9.7, 104.4]","49.4 [28.2, 70.7]","14.1 [3.6, 56.2]","29.5 [5.5, 107.7]","11.2 [2.9, 60.4]","24.0 [2.8, 155.9]"
"  Extubation failure ≤48hr, n (% of extubated)",281 (27.1%),239 (10.4%),30 (7.4%),40 (14.3%),<10,206 (20.3%),159 (10.2%),310 (18.8%),"1,265 (15.3%)"
"Peak NEE (mcg/kg/min), median [Q1, Q3]","0.520 [0.180, 2.050]","1.280 [0.420, 4.720]","0.340 [0.120, 0.780]","0.420 [0.121, 1.292]","0.422 [0.170, 0.689]","0.670 [0.260, 1.400]","0.290 [0.120, 0.740]","0.538 [0.192, 1.533]","0.7 [0.1, 4.7]"
"Median NEE (mcg/kg/min), median [Q1, Q3]","0.080 [0.050, 0.175]","0.200 [0.100, 0.440]","0.060 [0.040, 0.120]","0.081 [0.047, 0.166]","0.064 [0.041, 0.100]","0.110 [0.050, 0.251]","0.065 [0.032, 0.125]","0.091 [0.048, 0.190]","0.1 [0.0, 0.4]"
"28-day NIDFD (NIPPV/HFNC encounters), n (%)","1,197 (25.6%)","1,408 (14.4%)",273 (15.4%),256 (18.5%),<10,717 (18.6%),"2,504 (31.3%)","2,229 (32.4%)","8,584 (23.6%)"
"  NIDFD, median [Q1, Q3]","18 [0, 26]","21 [0, 26]","19 [0, 26]","19 [0, 26]","12 [0, 26]","20 [0, 26]","20 [0, 26]","19 [0, 26]","19.5 [0, 26]"
"Time to ICU after first ED pressor (hr), median [Q1, Q3]","3.0 [1.6, 5.1]","2.9 [1.7, 4.9]","2.0 [1.1, 3.3]","2.2 [1.2, 3.5]","0.3 [0.1, 0.6]","4.2 [2.4, 7.3]","2.5 [1.4, 3.9]","2.7 [1.6, 4.3]","2.8 [0.1, 7.3]"
"Vasopressor encounters, n (%)","4,676 (100.0%)","9,748 (100.0%)","1,773 (100.0%)","1,386 (100.0%)","1,293 (100.0%)","3,852 (100.0%)","8,003 (100.0%)","6,875 (100.0%)","37,606 (100.0%)"
"  Norepinephrine, n (%)","4,564 (97.6%)","9,319 (95.6%)","1,668 (94.1%)","1,333 (96.2%)","1,277 (98.8%)","3,343 (86.8%)","7,406 (92.5%)","6,475 (94.2%)","35,385 (94.1%)"
"    Norepinephrine dose (mcg/kg/min), median [Q1, Q3]","0.06 [0.04, 0.09]","0.08 [0.04, 0.12]","0.04 [0.02, 0.08]","0.07 [0.04, 0.10]","0.06 [0.03, 0.10]","0.10 [0.05, 0.15]","0.05 [0.03, 0.08]","0.07 [0.04, 0.11]","0.1 [0.0, 0.1]"
"  Epinephrine, n (%)","1,093 (23.4%)","1,362 (14.0%)",546 (30.8%),326 (23.5%),154 (11.9%),"1,187 (30.8%)","1,266 (15.8%)","1,785 (26.0%)","7,719 (20.5%)"
"    Epinephrine dose (mcg/kg/min), median [Q1, Q3]","0.08 [0.05, 0.10]","0.10 [0.05, 0.15]","0.05 [0.03, 0.06]","0.07 [0.03, 0.12]","0.06 [0.05, 0.08]","0.15 [0.08, 0.22]","0.05 [0.03, 0.08]","0.06 [0.03, 0.08]","0.1 [0.0, 0.2]"
"  Phenylephrine, n (%)",310 (6.6%),575 (5.9%),194 (10.9%),169 (12.2%),33 (2.6%),"1,873 (48.6%)",946 (11.8%),"1,599 (23.3%)","5,699 (15.2%)"
"    Phenylephrine dose (mcg/kg/min), median [Q1, Q3]","0.95 [0.50, 1.33]","0.70 [0.38, 1.00]","0.09 [0.05, 0.12]","0.65 [0.38, 1.01]","0.69 [0.35, 1.04]","0.80 [0.50, 1.13]","0.64 [0.50, 1.00]","0.89 [0.50, 1.36]","0.7 [0.1, 1.4]"
"  Vasopressin, n (%)","2,312 (49.4%)","2,960 (30.4%)",730 (41.2%),493 (35.6%),377 (29.2%),"1,745 (45.3%)","2,600 (32.5%)","2,761 (40.2%)","13,978 (37.2%)"
"  Dopamine, n (%)",76 (1.6%),574 (5.9%),75 (4.2%),38 (2.7%),24 (1.9%),610 (15.8%),927 (11.6%),256 (3.7%),"2,580 (6.9%)"
"    Dopamine dose (mcg/kg/min), median [Q1, Q3]","5.00 [3.00, 5.00]","5.00 [2.50, 6.00]","3.49 [2.50, 5.00]","5.00 [5.00, 6.62]","4.00 [4.00, 5.00]","5.00 [5.00, 7.75]","5.00 [2.50, 5.63]","5.00 [4.00, 7.50]","4.9 [2.5, 7.8]"
"Sedatives and analgesics, n (%)",,,,,,,,,
  Propofol,"1,064 (22.8%)","2,761 (28.3%)",819 (46.2%),299 (21.6%),544 (42.1%),"2,295 (59.6%)","2,592 (32.4%)","2,492 (36.2%)","12,866 (34.2%)"
  Midazolam,466 (10.0%),"2,043 (21.0%)",113 (6.4%),53 (3.8%),283 (21.9%),164 (4.3%),"1,437 (18.0%)",957 (13.9%),"5,516 (14.7%)"
  Lorazepam,10 (0.2%),41 (0.4%),11 (0.6%),<10,0 (0.0%),<10,140 (1.7%),59 (0.9%),261 (0.8%)
  Dexmedetomidine,"1,202 (25.7%)","1,763 (18.1%)",352 (19.9%),252 (18.2%),156 (12.1%),"1,195 (31.0%)","1,629 (20.4%)",972 (14.1%),"7,521 (20.0%)"
  Fentanyl,"1,745 (37.3%)","3,052 (31.3%)",142 (8.0%),492 (35.5%),502 (38.8%),"2,175 (56.5%)","2,010 (25.1%)","2,885 (42.0%)","13,003 (34.6%)"
"Neuromuscular blocking agents, n (%)",,,,,,,,,
  Cisatracurium,76 (1.6%),63 (0.6%),24 (1.4%),23 (1.7%),,110 (2.9%),110 (1.4%),444 (6.5%),850 (2.3%)
  Rocuronium,,<10,<10,0 (0.0%),79 (6.1%),<10,<10,<10,
"Medications during IMV (N=18,003)",,,,,,,,,
"  Vasopressors, n (%)","2,213 (100.0%)","4,915 (100.0%)",693 (100.0%),559 (100.0%),13 (100.0%),"2,738 (100.0%)","3,328 (100.0%)","3,544 (100.0%)","18,003 (100.0%)"
"    Norepinephrine, n (%)","2,187 (98.8%)","4,806 (97.8%)",670 (96.7%),544 (97.3%),13 (100.0%),"2,555 (93.3%)","3,123 (93.8%)","3,405 (96.1%)","17,303 (96.1%)"
"      Norepinephrine dose (mcg/kg/min), median [Q1, Q3]","0.08 [0.05, 0.15]","0.10 [0.05, 0.20]","0.06 [0.03, 0.10]","0.10 [0.06, 0.16]","0.10 [0.05, 0.14]","0.10 [0.06, 0.19]","0.07 [0.04, 0.11]","0.09 [0.05, 0.14]","0.1 [0.0, 0.2]"
"    Epinephrine, n (%)",867 (39.2%),"1,139 (23.2%)",310 (44.7%),243 (43.5%),<10,"1,075 (39.3%)",988 (29.7%),"1,472 (41.5%)","6,094 (33.9%)"
"      Epinephrine dose (mcg/kg/min), median [Q1, Q3]","0.10 [0.05, 0.15]","0.10 [0.05, 0.20]","0.05 [0.03, 0.08]","0.09 [0.04, 0.16]","0.05 [0.04, 0.12]","0.15 [0.08, 0.24]","0.06 [0.03, 0.09]","0.06 [0.04, 0.09]","0.1 [0.0, 0.2]"
"    Phenylephrine, n (%)",228 (10.3%),366 (7.4%),121 (17.5%),123 (22.0%),<10,"1,486 (54.3%)",651 (19.6%),"1,166 (32.9%)","4,141 (23.0%)"
"      Phenylephrine dose (mcg/kg/min), median [Q1, Q3]","1.00 [0.64, 1.91]","0.80 [0.46, 1.20]","0.10 [0.05, 0.12]","0.85 [0.43, 1.37]","nan [nan, nan]","1.00 [0.50, 1.50]","0.80 [0.50, 1.14]","1.11 [0.60, 1.69]","0.9 [0.1, 1.9]"
"    Vasopressin, n (%)","1,561 (70.5%)","2,305 (46.9%)",399 (57.6%),327 (58.5%),<10,"1,535 (56.1%)","1,718 (51.6%)","2,077 (58.6%)","9,922 (55.2%)"
"    Dopamine, n (%)",38 (1.7%),300 (6.1%),29 (4.2%),17 (3.0%),<10,454 (16.6%),541 (16.3%),140 (4.0%),"1,519 (8.5%)"
"      Dopamine dose (mcg/kg/min), median [Q1, Q3]","5.00 [5.00, 5.00]","5.00 [3.00, 7.00]","4.73 [3.00, 6.50]","7.50 [5.00, 8.75]","2.00 [2.00, 2.00]","6.98 [5.00, 9.99]","5.00 [3.00, 7.00]","7.00 [5.00, 9.00]","5.5 [2, 10.0]"
"  Sedatives and analgesics, n (%)",,,,,,,,,
    Propofol,"1,063 (48.0%)","2,760 (56.2%)",610 (88.0%),296 (53.0%),<10,"2,147 (78.4%)","2,380 (71.5%)","2,483 (70.1%)","11,739 (65.3%)"
    Midazolam,457 (20.7%),"2,034 (41.4%)",92 (13.3%),53 (9.5%),<10,164 (6.0%),"1,425 (42.8%)",952 (26.9%),"5,177 (28.8%)"
