Metric,Value__Emory,Value__JHU,Value__MIMIC,Value__NU,Value__OHSU,Value__RUSH,Value__Sunnybrook,Value__UCMC,Value__UCSF,Value__UMN,Value__UPenn,Value__ALL
Total hospitalizations,4675,9707,282,8454,1751,1238,1292,3849,2572,8003,6875,48698
Total comorbidities across all patients,12720,24061,642,24032,3784,3985,3411,9520,7536,19798,17175,126664
Average comorbidities per hospitalization,2.72,2.48,2.28,2.84,2.16,3.22,2.64,2.47,2.93,2.47,2.50,
Most common comorbidity,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,renal_disease,metastatic_solid_tumor,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,
Most common: per 1000 hospitalizations,468.7,422.2,411.3,471.6,378.6,432.1,417.2,413.6,430.8,386.7,426.0,
