,Non-Hispanic,Non-Hispanic,Non-Hispanic,Hispanic,Hispanic,Hispanic,Unknown,Unknown,Unknown,Total
,Female,Male,Unknown,Female,Male,Unknown,Female,Male,Unknown,Unnamed: 10_level_1
American Indian or Alaska Native,57,65,0,0,0,0,0,0,0,122
Asian,908,995,0,0,0,0,0,0,0,1903
Native Hawaiian or Other Pacific Islander,30,38,0,0,0,0,0,0,0,68
Black or African American,3581,3844,0,13,12,0,44,45,0,7539
White,7410,8555,0,349,421,0,69,88,0,16892
Other,167,228,0,403,435,0,13,38,0,1284
Unknown,127,149,0,31,93,0,267,437,0,1104
Total,12280,13874,0,796,961,0,393,608,0,35372
