sofa_score,total_encounters__Emory,total_encounters__JHU,total_encounters__MIMIC,total_encounters__NU,total_encounters__OHSU,total_encounters__RUSH,total_encounters__Sunnybrook,total_encounters__UCMC,total_encounters__UCSF,total_encounters__UMN,total_encounters__UPenn,total_encounters__ALL,n_encounters__Emory,n_encounters__JHU,n_encounters__MIMIC,n_encounters__NU,n_encounters__OHSU,n_encounters__RUSH,n_encounters__Sunnybrook,n_encounters__UCMC,n_encounters__UCSF,n_encounters__UMN,n_encounters__UPenn,n_encounters__ALL,n_deaths__Emory,n_deaths__JHU,n_deaths__MIMIC,n_deaths__NU,n_deaths__OHSU,n_deaths__RUSH,n_deaths__Sunnybrook,n_deaths__UCMC,n_deaths__UCSF,n_deaths__UMN,n_deaths__UPenn,n_deaths__ALL,mortality_rate_percent__Emory,mortality_rate_percent__JHU,mortality_rate_percent__MIMIC,mortality_rate_percent__NU,mortality_rate_percent__OHSU,mortality_rate_percent__RUSH,mortality_rate_percent__Sunnybrook,mortality_rate_percent__UCMC,mortality_rate_percent__UCSF,mortality_rate_percent__UMN,mortality_rate_percent__UPenn,mortality_rate_percent__ALL,ci_lower_95__Emory,ci_lower_95__JHU,ci_lower_95__MIMIC,ci_lower_95__NU,ci_lower_95__OHSU,ci_lower_95__RUSH,ci_lower_95__Sunnybrook,ci_lower_95__UCMC,ci_lower_95__UCSF,ci_lower_95__UMN,ci_lower_95__UPenn,ci_lower_95__ALL,ci_upper_95__Emory,ci_upper_95__JHU,ci_upper_95__MIMIC,ci_upper_95__NU,ci_upper_95__OHSU,ci_upper_95__RUSH,ci_upper_95__Sunnybrook,ci_upper_95__UCMC,ci_upper_95__UCSF,ci_upper_95__UMN,ci_upper_95__UPenn,ci_upper_95__ALL,ci_margin_95__Emory,ci_margin_95__JHU,ci_margin_95__MIMIC,ci_margin_95__NU,ci_margin_95__OHSU,ci_margin_95__RUSH,ci_margin_95__Sunnybrook,ci_margin_95__UCMC,ci_margin_95__UCSF,ci_margin_95__UMN,ci_margin_95__UPenn,ci_margin_95__ALL
0.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,55.0,49,3.0,68.0,24.0,40.0,9.0,69.0,5.0,57.0,202.0,581,8.0,9,2.0,7.0,6.0,6.0,0.0,2.0,3.0,6.0,57.0,106,14.55,18.37,66.67,10.29,25.0,15.0,0.0,2.9,60.0,10.53,28.22,18.245886,5.24,7.68,30.12,2.95,8.55,3.99,0.0,0.0,27.42,2.42,22.06,10.415559,23.85,29.06,100.0,17.63,41.45,26.01,14.96,7.48,92.58,18.63,34.38,26.488916,9.3,10.69,36.54,7.34,16.45,11.01,14.96,4.58,32.58,8.1,6.16,8.259604
1.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,69.0,97,8.0,141.0,20.0,95.0,66.0,113.0,17.0,148.0,293.0,1067,8.0,19,1.0,13.0,6.0,16.0,16.0,13.0,4.0,13.0,71.0,180,11.59,19.59,12.5,9.22,30.0,16.84,24.24,11.5,23.53,8.78,24.23,16.867798,3.97,11.76,0.0,4.39,11.33,9.35,14.09,5.58,4.68,4.16,19.35,10.378407,19.22,27.42,34.92,14.05,48.67,24.33,34.39,17.43,42.38,13.41,29.12,23.437404,7.63,7.83,22.42,4.83,18.67,7.49,10.15,5.92,18.85,4.62,4.89,6.56716
2.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,72.0,96,13.0,154.0,21.0,70.0,115.0,119.0,20.0,139.0,305.0,1124,10.0,8,2.0,14.0,2.0,15.0,27.0,6.0,4.0,14.0,66.0,168,13.89,8.33,15.38,9.09,9.52,21.43,23.48,5.04,20.0,10.07,21.64,14.946148,5.89,2.68,0.0,4.5,0.0,11.95,15.81,0.93,3.23,5.02,17.03,8.982393,21.88,13.99,34.34,13.68,22.65,30.9,31.15,9.16,36.77,15.12,26.25,21.019404,8.0,5.65,18.95,4.59,13.13,9.48,7.67,4.12,16.77,5.05,4.61,6.07355
3.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,277.0,546,37.0,640.0,138.0,119.0,117.0,167.0,124.0,694.0,462.0,3321,24.0,53,8.0,62.0,24.0,15.0,29.0,15.0,9.0,59.0,95.0,393,8.66,9.71,21.62,9.69,17.39,12.61,24.79,8.98,7.26,8.5,20.56,11.83393,5.33,7.22,8.72,7.39,11.09,6.62,17.05,4.6,2.58,6.42,16.88,8.46913,12.0,12.2,34.53,11.98,23.69,18.59,32.53,13.37,11.94,10.58,24.24,15.197892,3.34,2.49,12.9,2.3,6.3,5.98,7.74,4.39,4.68,2.08,3.68,3.365778
4.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,378.0,785,50.0,811.0,190.0,148.0,113.0,210.0,196.0,825.0,600.0,4306,66.0,121,7.0,111.0,46.0,27.0,20.0,43.0,30.0,130.0,128.0,729,17.46,15.41,14.0,13.69,24.21,18.24,17.7,20.48,15.31,15.76,21.33,16.929958,13.64,12.89,4.38,11.32,18.16,12.05,10.7,15.04,10.27,13.27,18.06,13.486312,21.28,17.94,23.62,16.05,30.26,24.44,24.7,25.91,20.34,18.24,24.61,20.372422,3.82,2.53,9.62,2.37,6.05,6.2,7.0,5.43,5.04,2.49,3.27,3.445325
5.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,437.0,821,48.0,846.0,155.0,136.0,165.0,240.0,212.0,858.0,655.0,4573,79.0,148,7.0,154.0,26.0,29.0,46.0,49.0,30.0,139.0,172.0,879,18.08,18.03,14.58,18.2,16.77,21.32,27.88,20.42,14.15,16.2,26.26,19.221561,14.47,15.4,4.62,15.61,10.91,14.49,21.1,15.34,9.46,13.74,22.9,15.747505,21.68,20.65,24.54,20.8,22.64,28.16,34.66,25.5,18.84,18.66,29.62,22.695353,3.6,2.63,9.96,2.6,5.87,6.83,6.78,5.08,4.69,2.46,3.36,3.47529
6.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,430.0,901,64.0,831.0,151.0,119.0,158.0,232.0,218.0,844.0,644.0,4592,96.0,193,16.0,158.0,33.0,27.0,58.0,56.0,33.0,170.0,196.0,1036,22.33,21.42,25.0,19.01,21.85,22.69,36.71,24.14,15.14,20.14,30.43,22.559745,18.4,18.74,14.6,16.35,15.31,15.23,29.28,18.66,10.38,17.44,26.89,18.879985,26.25,24.1,35.4,21.68,28.4,30.14,44.14,29.62,19.89,22.85,33.98,26.243214,3.93,2.68,10.4,2.67,6.55,7.46,7.43,5.48,4.75,2.7,3.55,3.682827
7.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,504.0,917,66.0,821.0,213.0,124.0,132.0,303.0,228.0,778.0,682.0,4768,134.0,243,18.0,252.0,47.0,21.0,46.0,87.0,63.0,226.0,226.0,1363,26.59,26.5,27.27,30.69,22.07,16.94,34.85,28.71,27.63,29.05,33.14,28.586617,22.74,23.65,16.75,27.55,16.52,10.36,26.82,23.64,21.86,25.86,29.61,24.680327,30.43,29.35,37.79,33.84,27.61,23.51,42.87,33.78,33.4,32.23,36.66,32.489526,3.85,2.85,10.52,3.15,5.54,6.58,8.02,5.07,5.77,3.18,3.52,3.904226
8.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,517.0,924,47.0,799.0,206.0,133.0,116.0,326.0,253.0,710.0,647.0,4678,176.0,327,19.0,269.0,89.0,40.0,39.0,116.0,60.0,245.0,239.0,1619,34.04,35.39,40.43,33.67,43.2,30.08,33.62,35.58,23.72,34.51,36.94,34.609632,29.97,32.31,26.92,30.4,36.5,22.37,25.15,30.41,18.5,31.02,33.23,30.447531,38.11,38.47,53.93,36.94,49.91,37.78,42.09,40.75,28.93,38.0,40.65,38.771248,4.07,3.08,13.51,3.27,6.7,7.7,8.47,5.17,5.22,3.49,3.71,4.161817
9.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,399.0,794,59.0,630.0,137.0,96.0,95.0,285.0,217.0,567.0,625.0,3904,142.0,272,20.0,248.0,59.0,36.0,41.0,107.0,71.0,196.0,311.0,1503,35.59,34.26,33.9,39.37,43.07,37.5,43.16,37.54,32.72,34.57,49.76,38.500812,30.91,30.96,22.15,35.56,34.89,27.99,33.39,31.96,26.52,30.67,45.85,33.855938,40.27,37.55,45.64,43.17,51.25,47.01,52.93,43.13,38.91,38.47,53.67,43.142062,4.68,3.29,11.74,3.8,8.18,9.51,9.77,5.59,6.2,3.9,3.91,4.641806
10.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,332.0,730,58.0,567.0,110.0,81.0,74.0,316.0,219.0,538.0,512.0,3537,143.0,311,31.0,218.0,46.0,40.0,38.0,126.0,76.0,203.0,287.0,1519,43.07,42.6,53.45,38.45,41.82,49.38,51.35,39.87,34.7,37.73,56.05,42.944001,37.78,39.02,41.01,34.46,32.75,38.74,40.25,34.51,28.45,33.65,51.77,38.001004,48.37,46.18,65.88,42.44,50.88,60.02,62.45,45.24,40.96,41.81,60.34,47.890421,5.3,3.58,12.43,3.99,9.07,10.64,11.1,5.37,6.26,4.08,4.28,4.945284
11.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,284.0,673,29.0,482.0,88.0,54.0,56.0,282.0,171.0,456.0,415.0,2990,160.0,351,12.0,244.0,41.0,31.0,36.0,154.0,69.0,210.0,265.0,1573,56.34,52.15,41.38,50.62,46.59,57.41,64.29,54.61,40.35,46.05,63.86,52.607773,50.61,48.39,24.5,46.18,36.39,44.65,52.11,48.84,33.08,41.5,59.25,47.285237,62.07,55.92,58.25,55.07,56.79,70.16,76.46,60.38,47.63,50.61,68.46,57.934415,5.73,3.76,16.87,4.45,10.2,12.75,12.17,5.77,7.28,4.56,4.6,5.324391
12.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,244.0,593,27.0,438.0,71.0,52.0,31.0,294.0,182.0,380.0,312.0,2624,137.0,333,11.0,237.0,32.0,31.0,16.0,183.0,75.0,168.0,204.0,1427,56.15,56.16,40.74,54.11,45.07,59.62,51.61,62.24,41.21,44.21,65.38,54.382965,49.97,52.17,23.36,49.46,33.79,46.73,35.02,56.74,34.13,39.24,60.13,48.743651,62.33,60.14,58.12,58.76,56.35,72.5,68.21,67.75,48.29,49.18,70.63,60.021059,6.18,3.98,17.38,4.65,11.28,12.89,16.59,5.51,7.08,4.97,5.25,5.638175
