data_type,category,reference_unit,total_number_of_stays,total_observations,total_distinct_observations,mean_icu_los_days,mean_icu_los_hours,whole_stay_mean,whole_stay_median,whole_stay_iqr,first_24hr_mean,first_24hr_median,first_24hr_iqr,first_48hr_mean,first_48hr_median,first_48hr_iqr,first_72hr_mean,first_72hr_median,first_72hr_iqr
labs,ph_arterial,(no units),25341,201424,200829,5.16,123.73,7.95,3.0,5.0,3.25,2.0,3.0,4.28,2.0,4.0,4.95,2.0,4.0
labs,bicarbonate,mmol/L,25728,233741,231447,5.16,123.76,9.09,3.0,6.0,3.57,2.0,3.0,4.77,2.0,4.0,5.56,2.0,5.0
labs,alkaline_phosphatase,U/L,37446,177377,177242,4.38,105.21,4.74,2.0,4.0,1.69,1.0,1.0,2.44,2.0,2.0,2.93,2.0,3.0
labs,hemoglobin,g/dL,51952,590148,586715,3.77,90.44,11.36,4.0,8.0,4.03,2.0,3.0,5.79,3.0,4.0,6.93,4.0,5.0
labs,phosphate,mg/dL,45837,282281,282180,4.04,96.87,6.16,3.0,5.0,1.99,2.0,1.0,3.02,2.0,2.0,3.69,3.0,2.0
labs,glucose_fingerstick,mg/dL,53167,1683696,1667277,3.67,88.02,31.67,14.0,26.0,10.05,7.0,8.0,15.31,11.0,14.0,18.67,13.0,17.0
labs,monocytes_absolute,10^3/µL,9256,27776,27751,6.49,155.79,3.0,1.0,2.0,0.92,1.0,1.0,1.36,1.0,1.0,1.66,1.0,1.0
labs,magnesium,mg/dL,50221,341243,341151,3.87,92.88,6.79,4.0,5.0,2.22,2.0,2.0,3.37,3.0,2.0,4.1,3.0,3.0
labs,po2_arterial,mmHg,25851,242551,239723,5.15,123.53,9.38,3.0,6.0,3.71,2.0,3.0,4.96,2.0,4.0,5.79,2.0,5.0
labs,ast,U/L,37440,177283,177154,4.38,105.19,4.74,2.0,4.0,1.69,1.0,1.0,2.44,2.0,2.0,2.93,2.0,3.0
labs,platelet_count,10^3/µL,51750,358636,358288,3.79,91.02,6.93,3.0,5.0,2.31,2.0,2.0,3.47,3.0,2.0,4.21,3.0,3.0
labs,albumin,g/dL,39043,198904,198793,4.32,103.72,5.09,2.0,4.0,1.76,1.0,1.0,2.59,2.0,2.0,3.13,2.0,3.0
labs,troponin_i,ng/L,17544,40256,40163,4.49,107.83,2.29,1.0,2.0,1.66,1.0,1.0,1.98,1.0,1.0,2.09,1.0,2.0
labs,basophils_absolute,10^3/µL,9255,27758,27739,6.49,155.8,3.0,1.0,2.0,0.92,1.0,1.0,1.36,1.0,1.0,1.66,1.0,1.0
labs,calcium_total,mg/dL,1167,2703,2692,6.68,160.39,2.32,1.0,1.0,1.46,1.0,1.0,1.72,1.0,1.0,1.86,1.0,1.0
labs,eosinophils_absolute,10^3/µL,9260,27768,27747,6.49,155.72,3.0,1.0,2.0,0.92,1.0,1.0,1.36,1.0,1.0,1.66,1.0,1.0
labs,ph_venous,(no units),16062,53238,53196,5.86,140.64,3.31,1.0,1.0,1.42,1.0,0.0,1.85,1.0,0.0,2.13,1.0,0.0
labs,crp,mg/L,3006,4186,4185,7.56,181.54,1.39,1.0,0.0,0.68,1.0,1.0,0.88,1.0,0.0,1.0,1.0,0.0
labs,alt,U/L,37269,175199,175087,4.39,105.33,4.7,2.0,4.0,1.68,1.0,1.0,2.43,2.0,2.0,2.91,2.0,2.0
labs,glucose_serum,mg/dL,861,1991,1989,5.83,139.94,2.31,1.0,1.0,1.71,1.0,2.0,1.94,1.0,1.0,2.04,1.0,1.0
labs,sodium,mmol/L,52524,594211,593237,3.74,89.8,11.31,5.0,9.0,4.04,3.0,4.0,5.85,4.0,5.0,7.01,4.0,6.0
labs,ptt,sec,16447,78898,78478,5.01,120.25,4.8,1.0,1.0,1.69,1.0,1.0,2.25,1.0,1.0,2.67,1.0,1.0
labs,potassium,mmol/L,52583,628246,626540,3.73,89.63,11.95,5.0,8.0,4.24,3.0,4.0,6.13,4.0,5.0,7.34,4.0,6.0
labs,calcium_ionized,mg/dL,52520,616130,613904,3.74,89.82,11.73,5.0,8.0,4.09,2.0,4.0,5.91,3.0,4.0,7.1,4.0,5.0
labs,lactate,mmol/L,30283,248065,246170,4.75,114.09,8.19,3.0,5.0,3.49,2.0,3.0,4.6,2.0,4.0,5.29,2.0,4.0
