,Non-Hispanic,Non-Hispanic,Hispanic,Hispanic,Total
,Female,Male,Female,Male,
Asian,15230,17955,166,213,33564
Black or African American,60412,60691,520,519,122142
White,174410,217945,6960,8798,408113
Other,10475,13463,13115,16944,53997
Total,260527,310054,20761,26474,617816
