Metric,Value__Emory,Value__JHU,Value__MIMIC,Value__NU,Value__OHSU,Value__RUSH,Value__Sunnybrook,Value__UCMC,Value__UCSF,Value__UMN,Value__UPenn,Value__ALL
Total hospitalizations,78081,124003,39954,125036,55816,54643,43830,35587,77260,156945,167909,959064
Total comorbidities across all patients,186017,249092,81977,302840,103789,147653,102104,74253,165079,325386,346561,2084751
Average comorbidities per hospitalization,2.38,2.01,2.05,2.42,1.86,2.70,2.33,2.09,2.14,2.07,2.06,
Most common comorbidity,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,renal_disease,cerebrovascular_disease,congestive_heart_failure,renal_disease,congestive_heart_failure,congestive_heart_failure,
Most common: per 1000 hospitalizations,393.3,274.7,313.5,353.2,260.7,344.3,417.3,371.2,243.9,293.5,330.0,
