sofa_score,total_encounters__Emory,total_encounters__JHU,total_encounters__MIMIC,total_encounters__Michigan,total_encounters__NU,total_encounters__OHSU,total_encounters__RUSH,total_encounters__Sunnybrook,total_encounters__UCMC,total_encounters__UCSF,total_encounters__UMN,total_encounters__UPenn,total_encounters__ALL,n_encounters__Emory,n_encounters__JHU,n_encounters__MIMIC,n_encounters__Michigan,n_encounters__NU,n_encounters__OHSU,n_encounters__RUSH,n_encounters__Sunnybrook,n_encounters__UCMC,n_encounters__UCSF,n_encounters__UMN,n_encounters__UPenn,n_encounters__ALL,n_deaths__Emory,n_deaths__JHU,n_deaths__MIMIC,n_deaths__Michigan,n_deaths__NU,n_deaths__OHSU,n_deaths__RUSH,n_deaths__Sunnybrook,n_deaths__UCMC,n_deaths__UCSF,n_deaths__UMN,n_deaths__UPenn,n_deaths__ALL,mortality_rate_percent__Emory,mortality_rate_percent__JHU,mortality_rate_percent__MIMIC,mortality_rate_percent__Michigan,mortality_rate_percent__NU,mortality_rate_percent__OHSU,mortality_rate_percent__RUSH,mortality_rate_percent__Sunnybrook,mortality_rate_percent__UCMC,mortality_rate_percent__UCSF,mortality_rate_percent__UMN,mortality_rate_percent__UPenn,mortality_rate_percent__ALL,ci_lower_95__Emory,ci_lower_95__JHU,ci_lower_95__MIMIC,ci_lower_95__Michigan,ci_lower_95__NU,ci_lower_95__OHSU,ci_lower_95__RUSH,ci_lower_95__Sunnybrook,ci_lower_95__UCMC,ci_lower_95__UCSF,ci_lower_95__UMN,ci_lower_95__UPenn,ci_lower_95__ALL,ci_upper_95__Emory,ci_upper_95__JHU,ci_upper_95__MIMIC,ci_upper_95__Michigan,ci_upper_95__NU,ci_upper_95__OHSU,ci_upper_95__RUSH,ci_upper_95__Sunnybrook,ci_upper_95__UCMC,ci_upper_95__UCSF,ci_upper_95__UMN,ci_upper_95__UPenn,ci_upper_95__ALL,ci_margin_95__Emory,ci_margin_95__JHU,ci_margin_95__MIMIC,ci_margin_95__Michigan,ci_margin_95__NU,ci_margin_95__OHSU,ci_margin_95__RUSH,ci_margin_95__Sunnybrook,ci_margin_95__UCMC,ci_margin_95__UCSF,ci_margin_95__UMN,ci_margin_95__UPenn,ci_margin_95__ALL
0.0,78000.0,124357.0,84798.0,,125101.0,56397.0,57642.0,44112.0,41148.0,77246.0,156828.0,167797.0,1013426,10770.0,13808.0,6448.0,,17573.0,6913.0,10010.0,4813.0,7009.0,6047.0,30896.0,39478.0,153765.0,374.0,420.0,386.0,,435.0,225.0,371.0,190.0,243.0,215.0,936.0,1255.0,5050.0,3.47,3.04,5.99,,2.48,3.25,3.71,3.95,3.47,3.56,3.03,3.18,3.285351,3.13,2.76,5.41,,2.25,2.84,3.34,3.4,3.04,3.09,2.84,3.01,3.006143,3.82,3.33,6.57,,2.71,3.67,4.08,4.5,3.9,4.02,3.22,3.35,3.566213,0.35,0.29,0.58,,0.23,0.42,0.37,0.55,0.43,0.47,0.19,0.17,0.281255
1.0,78000.0,124357.0,84798.0,,125101.0,56397.0,57642.0,44112.0,41148.0,77246.0,156828.0,167797.0,1013426,14293.0,22239.0,14432.0,,23993.0,10732.0,12880.0,7662.0,5620.0,13360.0,31358.0,33122.0,189691.0,630.0,881.0,878.0,,989.0,406.0,549.0,313.0,312.0,414.0,1434.0,1644.0,8450.0,4.41,3.96,6.08,,4.12,3.78,4.26,4.09,5.55,3.1,4.57,4.96,4.452862,4.07,3.71,5.69,,3.87,3.42,3.91,3.64,4.95,2.8,4.34,4.73,4.157245,4.74,4.22,6.47,,4.37,4.14,4.61,4.53,6.15,3.39,4.8,5.2,4.749536,0.34,0.26,0.39,,0.25,0.36,0.35,0.44,0.6,0.29,0.23,0.23,0.295681
2.0,78000.0,124357.0,84798.0,,125101.0,56397.0,57642.0,44112.0,41148.0,77246.0,156828.0,167797.0,1013426,10037.0,16730.0,13009.0,,15703.0,6968.0,7778.0,7116.0,3716.0,11618.0,18734.0,20427.0,131836.0,609.0,938.0,913.0,,1082.0,398.0,450.0,453.0,283.0,394.0,1333.0,1543.0,8396.0,6.07,5.61,7.02,,6.89,5.71,5.79,6.37,7.62,3.39,7.12,7.55,6.36972,5.6,5.26,6.58,,6.49,5.17,5.27,5.8,6.76,3.06,6.75,7.19,5.946797,6.53,5.96,7.46,,7.29,6.26,6.3,6.93,8.47,3.72,7.48,7.92,6.791127,0.47,0.35,0.44,,0.4,0.55,0.52,0.57,0.85,0.33,0.37,0.36,0.423169
3.0,78000.0,124357.0,84798.0,,125101.0,56397.0,57642.0,44112.0,41148.0,77246.0,156828.0,167797.0,1013426,7761.0,12516.0,10234.0,,11628.0,5631.0,5938.0,4717.0,3201.0,7988.0,14131.0,15590.0,99335.0,747.0,1216.0,1030.0,,1216.0,501.0,576.0,446.0,349.0,465.0,1448.0,1738.0,9732.0,9.63,9.72,10.06,,10.46,8.9,9.7,9.46,10.9,5.82,10.25,11.15,9.798827,8.97,9.2,9.48,,9.9,8.15,8.95,8.62,9.82,5.31,9.75,10.65,9.203785,10.28,10.23,10.65,,11.01,9.64,10.45,10.29,11.98,6.34,10.75,11.64,10.38988,0.66,0.52,0.58,,0.56,0.74,0.75,0.84,1.08,0.51,0.5,0.49,0.592905
4.0,78000.0,124357.0,84798.0,,125101.0,56397.0,57642.0,44112.0,41148.0,77246.0,156828.0,167797.0,1013426,7585.0,11038.0,9850.0,,10180.0,5517.0,5661.0,3787.0,3370.0,6871.0,12255.0,14149.0,90263.0,820.0,1414.0,1230.0,,1462.0,647.0,676.0,518.0,390.0,539.0,1687.0,1902.0,11285.0,10.81,12.81,12.49,,14.36,11.73,11.94,13.68,11.57,7.84,13.77,13.44,12.502224,10.11,12.19,11.83,,13.68,10.88,11.1,12.58,10.49,7.21,13.16,12.88,11.809203,11.51,13.43,13.14,,15.04,12.58,12.79,14.77,12.65,8.48,14.38,14.0,13.195123,0.7,0.62,0.65,,0.68,0.85,0.84,1.09,1.08,0.64,0.61,0.56,0.692272
5.0,78000.0,124357.0,84798.0,,125101.0,56397.0,57642.0,44112.0,41148.0,77246.0,156828.0,167797.0,1013426,5898.0,8872.0,7976.0,,8200.0,4533.0,4427.0,3774.0,2872.0,5468.0,9540.0,10982.0,72542.0,866.0,1412.0,1079.0,,1339.0,547.0,610.0,627.0,413.0,568.0,1508.0,1693.0,10662.0,14.68,15.92,13.53,,16.33,12.07,13.78,16.61,14.38,10.39,15.81,15.42,14.699504,13.78,15.15,12.78,,15.53,11.12,12.76,15.43,13.1,9.58,15.08,14.74,13.865586,15.59,16.68,14.28,,17.13,13.02,14.79,17.8,15.66,11.2,16.54,16.09,15.531407,0.9,0.76,0.75,,0.8,0.95,1.02,1.19,1.28,0.81,0.73,0.68,0.833215
6.0,78000.0,124357.0,84798.0,,125101.0,56397.0,57642.0,44112.0,41148.0,77246.0,156828.0,167797.0,1013426,4473.0,7040.0,6020.0,,6652.0,3405.0,2867.0,3319.0,2672.0,4550.0,7786.0,8187.0,56971.0,761.0,1310.0,1003.0,,1255.0,465.0,501.0,583.0,411.0,543.0,1310.0,1547.0,9689.0,17.01,18.61,16.66,,18.87,13.66,17.47,17.57,15.38,11.93,16.83,18.9,17.008298,15.91,17.7,15.72,,17.93,12.5,16.08,16.27,14.01,10.99,15.99,18.05,16.009108,18.11,19.52,17.6,,19.81,14.81,18.86,18.86,16.75,12.88,17.66,19.74,18.004302,1.1,0.91,0.94,,0.94,1.15,1.39,1.29,1.37,0.94,0.83,0.85,0.996643
7.0,78000.0,124357.0,84798.0,,125101.0,56397.0,57642.0,44112.0,41148.0,77246.0,156828.0,167797.0,1013426,3775.0,5884.0,4580.0,,5809.0,3000.0,2078.0,2732.0,2296.0,4074.0,6557.0,6401.0,47186.0,742.0,1220.0,944.0,,1226.0,523.0,466.0,523.0,428.0,666.0,1289.0,1406.0,9433.0,19.66,20.73,20.61,,21.11,17.43,22.43,19.14,18.64,16.35,19.66,21.97,19.992192,18.39,19.7,19.44,,20.06,16.08,20.63,17.67,17.05,15.21,18.7,20.95,18.821548,20.92,21.77,21.78,,22.15,18.79,24.22,20.62,20.23,17.48,20.62,22.98,21.160606,1.27,1.04,1.17,,1.05,1.36,1.79,1.47,1.59,1.14,0.96,1.01,1.17073
8.0,78000.0,124357.0,84798.0,,125101.0,56397.0,57642.0,44112.0,41148.0,77246.0,156828.0,167797.0,1013426,3275.0,5227.0,3636.0,,5440.0,2548.0,1530.0,2061.0,2016.0,3549.0,5554.0,5447.0,40283.0,798.0,1308.0,883.0,,1220.0,572.0,409.0,434.0,448.0,548.0,1185.0,1460.0,9265.0,24.37,25.02,24.28,,22.43,22.45,26.73,21.06,22.22,15.44,21.34,26.8,22.999547,22.9,23.85,22.89,,21.32,20.83,24.52,19.3,20.41,14.25,20.26,25.63,21.67387,25.84,26.2,25.68,,23.53,24.07,28.95,22.82,24.04,16.63,22.41,27.98,24.326929,1.47,1.17,1.39,,1.11,1.62,2.22,1.76,1.81,1.19,1.08,1.18,1.32741
9.0,78000.0,124357.0,84798.0,,125101.0,56397.0,57642.0,44112.0,41148.0,77246.0,156828.0,167797.0,1013426,2470.0,4727.0,2578.0,,4633.0,1765.0,1115.0,1517.0,1712.0,3078.0,4767.0,4225.0,32587.0,658.0,1140.0,735.0,,1020.0,428.0,341.0,371.0,448.0,529.0,1067.0,1383.0,8120.0,26.64,24.12,28.51,,22.02,24.25,30.58,24.46,26.17,17.19,22.38,32.73,24.918551,24.9,22.9,26.77,,20.82,22.25,27.88,22.29,24.09,15.85,21.2,31.32,23.408432,28.38,25.34,30.25,,23.21,26.25,33.28,26.62,28.25,18.52,23.57,34.15,26.428597,1.74,1.22,1.74,,1.19,2.0,2.7,2.16,2.08,1.33,1.18,1.41,1.507287
