,Non-Hispanic,Non-Hispanic,Non-Hispanic,Hispanic,Hispanic,Hispanic,Unknown,Unknown,Unknown,Total
,Female,Male,Unknown,Female,Male,Unknown,Female,Male,Unknown,Unnamed: 10_level_1
American Indian or Alaska Native,185,161,0,11,0,0,0,0,0,357
Asian,547,704,0,0,0,0,0,0,0,1251
Native Hawaiian or Other Pacific Islander,15,47,0,0,0,0,0,0,0,62
Black or African American,5700,5271,0,36,48,0,78,65,0,11198
White,13735,18016,0,365,421,0,115,157,0,32811
Other,84,102,0,208,279,0,0,0,0,673
Unknown,268,373,0,45,111,0,167,226,0,1190
Total,20534,24674,0,665,859,0,360,448,0,60099
