Variable,Overall__Emory,Overall__JHU,Overall__MIMIC,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UCSF,Overall__UMN,Overall__UPenn,Overall__ALL
  Sex: Missing,<10,,,,,,,,,,,
  Sex: Unknown,<10,<10,,,,,,,,<10,,
  Sex: Other,,,,,,,,,,<10,,
Encounter Types,,,,,,,,,,,,
"  ICU encounters, n (%)",0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
"  Advanced respiratory support, n (%)","12,238 (100.0%)","14,928 (100.0%)",67 (100.0%),962 (100.0%),"5,427 (100.0%)","4,261 (100.0%)","10,375 (100.0%)","5,765 (100.0%)",<10,"42,460 (100.0%)","19,081 (100.0%)","115,564 (100.0%)"
"  Vasoactive support, n (%)",478 (3.9%),826 (5.5%),0 (0.0%),277 (28.8%),294 (5.4%),16 (0.4%),<10,72 (1.2%),0 (0.0%),728 (1.7%),193 (1.0%),"2,884 (2.7%)"
"  Other critically ill, n (%)",0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
"ICU episodes, total n",0,0,0,0,0,0,0,0,0,0,0,0
"Encounters with >=1 ICU episode, n (%)",0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
"Hospital mortality, n (%)",564 (4.6%),"1,910 (12.8%)",0 (0.0%),251 (26.1%),264 (4.9%),116 (2.7%),337 (3.2%),150 (2.6%),<10,"3,998 (9.4%)","1,286 (6.7%)","8,876 (7.7%)"
"  Discharged to hospice, n (%)",105 (0.9%),698 (4.7%),0 (0.0%),57 (5.9%),126 (2.3%),21 (0.5%),180 (1.7%),79 (1.4%),0 (0.0%),"1,313 (3.1%)",810 (4.2%),"3,389 (2.9%)"
"  Expired, n (%)",495 (4.0%),"1,212 (8.1%)",0 (0.0%),194 (20.2%),139 (2.6%),98 (2.3%),157 (1.5%),71 (1.2%),<10,"2,685 (6.3%)",794 (4.2%),"5,845 (5.1%)"
  First admission location: ed,"9,222 (75.4%)","7,804 (52.3%)",13 (19.4%),935 (97.2%),"3,319 (61.2%)","3,614 (84.8%)","6,419 (61.9%)","5,085 (88.2%)",<10,"39,485 (93.0%)","7,718 (40.4%)","83,614 (72.4%)"
  First admission location: ward,"2,646 (21.6%)","5,407 (36.2%)",10 (14.9%),20 (2.1%),"1,752 (32.3%)",393 (9.2%),"2,059 (19.8%)",679 (11.8%),,"2,651 (6.2%)","11,122 (58.3%)","26,739 (23.1%)"
  First admission location: icu,,,,,,,,,,,,
  First admission location: procedural,,,,,,,,,,,,
  First admission location: stepdown,,"1,717 (11.5%)",37 (55.2%),<10,186 (3.4%),164 (3.8%),,,,322 (0.8%),<10,"2,426 (3.7%)"
  First admission location: other,242 (2.0%),,<10,<10,,,"1,897 (18.3%)",<10,<10,<10,121 (0.6%),
  First admission location: radiology,<10,,,,,,,,,<10,62 (0.3%),
  First admission location: rehab,117 (1.0%),,,,,,,,,,21 (0.1%),138 (0.4%)
  First admission location: l&d,,,,,,,,,,,,
  First admission location: dialysis,,,,,<10,,,,,,31 (0.2%),31 (0.2%)
  Admission type: ed,"10,589 (86.5%)","13,203 (88.4%)",50 (74.6%),788 (81.9%),"3,826 (70.5%)","3,701 (86.9%)","6,630 (63.9%)","4,853 (84.2%)",<10,"36,753 (86.6%)","16,383 (85.9%)","96,776 (83.7%)"
  Admission type: osh,"1,184 (9.7%)",491 (3.3%),,16 (1.7%),366 (6.7%),<10,,273 (4.7%),,667 (1.6%),863 (4.5%),"3,860 (3.8%)"
  Admission type: facility,450 (3.7%),,,113 (11.7%),<10,175 (4.1%),,167 (2.9%),,"2,815 (6.6%)",470 (2.5%),"4,190 (4.9%)"
  Admission type: direct,<10,"1,184 (7.9%)",<10,31 (3.2%),667 (12.3%),179 (4.2%),,469 (8.1%),,"2,123 (5.0%)",240 (1.3%),"4,893 (5.3%)"
  Admission type: other,,38 (0.3%),,14 (1.5%),566 (10.4%),,69 (0.7%),<10,,<10,18 (0.1%),705 (1.5%)
  Admission type: na,,12 (0.1%),,,,,,,,,,12 (0.1%)
  Admission type: elective,<10,,16 (23.9%),,<10,200 (4.7%),"3,676 (35.4%)",,,101 (0.2%),"1,107 (5.8%)","5,100 (6.1%)"
"ICU length of stay (days), median [Q1, Q3]",,,,,,,,,,,,
"Hospital length of stay (days), median [Q1, Q3]","3.8 [2.0, 7.1]","4.8 [2.8, 8.3]","4.2 [2.3, 7.1]","5.7 [2.9, 9.8]","3.9 [1.9, 7.0]","3.1 [1.9, 5.1]","2.7 [1.2, 6.5]","4.8 [3.0, 7.6]","6.9 [3.5, 10.2]","3.5 [1.9, 6.0]","4.7 [2.9, 7.8]","3.9 [1.2, 10.2]"
"Resp. device onset, n (%)","12,238 (100.0%)","14,928 (100.0%)",67 (100.0%),962 (100.0%),"5,427 (100.0%)","4,261 (100.0%)","10,375 (100.0%)","5,765 (100.0%)",<10,"42,460 (100.0%)","19,081 (100.0%)","115,564 (100.0%)"
