Variable,Overall__Emory,Overall__JHU,Overall__MIMIC,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UCSF,Overall__UMN,Overall__UPenn,Overall__ALL
"Medications during IMV (N=311,046)",,,,,,,,,,,,
"  Vasopressors, n (%)",295 (16.6%),584 (37.7%),0 (0.0%),195 (64.4%),250 (27.7%),10 (17.5%),<10,31 (16.3%),0 (0.0%),470 (20.5%),54 (23.0%),"1,889 (25.6%)"
"    Norepinephrine, n (%)",267 (15.0%),562 (36.2%),,186 (61.4%),21 (2.3%),<10,<10,31 (16.3%),,380 (16.6%),44 (18.7%),"1,491 (20.5%)"
"      Norepinephrine dose (mcg/kg/min), median [Q1, Q3]","0.20 [0.10, 0.40]","0.12 [0.06, 0.22]",,"0.06 [0.03, 0.09]","0.05 [0.04, 0.08]","0.10 [0.05, 0.18]","nan [nan, nan]","0.07 [0.05, 0.10]",,"0.07 [0.04, 0.10]","0.16 [0.09, 0.18]","0.1 [0.0, 0.4]"
"    Epinephrine, n (%)",88 (4.9%),135 (8.7%),,33 (10.9%),14 (1.6%),<10,,<10,,128 (5.6%),26 (11.1%),424 (6.0%)
"      Epinephrine dose (mcg/kg/min), median [Q1, Q3]","0.20 [0.10, 0.36]","0.11 [0.05, 0.23]",,"0.08 [0.03, 0.09]","0.05 [0.03, 0.13]","0.05 [0.02, 0.10]",,"0.20 [0.10, 0.30]",,"0.06 [0.03, 0.10]","0.10 [0.09, 0.10]","0.1 [0.0, 0.4]"
"    Phenylephrine, n (%)",19 (1.1%),41 (2.6%),,82 (27.1%),230 (25.5%),<10,,<10,,30 (1.3%),<10,402 (5.9%)
"      Phenylephrine dose (mcg/kg/min), median [Q1, Q3]","0.75 [0.50, 0.90]","0.80 [0.50, 1.06]",,"1.29 [0.64, 1.97]","0.05 [0.03, 0.07]","0.48 [0.32, 1.43]",,"nan [nan, nan]",,"0.38 [0.22, 0.63]","0.44 [0.13, 0.74]","0.5 [0.0, 2.0]"
"    Vasopressin, n (%)",81 (4.6%),264 (17.0%),,91 (30.0%),11 (1.2%),<10,,<10,,92 (4.0%),12 (5.1%),551 (7.8%)
"    Dopamine, n (%)",10 (0.6%),31 (2.0%),,15 (5.0%),<10,,,<10,,50 (2.2%),<10,106 (1.8%)
"      Dopamine dose (mcg/kg/min), median [Q1, Q3]","5.00 [5.00, 7.00]","5.00 [2.75, 5.25]",,"5.00 [3.25, 6.75]","5.00 [1.50, 6.50]",,,"13.75 [10.66, 16.91]",,"7.50 [5.00, 10.00]","10.00 [5.00, 15.00]","7.5 [1.5, 16.9]"
"  Sedatives and analgesics, n (%)",,,,,,,,,,,,
    Propofol,84 (4.7%),526 (33.9%),<10,208 (68.6%),386 (42.8%),12 (21.1%),,94 (49.5%),<10,720 (31.4%),48 (20.4%),"2,078 (28.4%)"
    Midazolam,30 (1.7%),206 (13.3%),,86 (28.4%),13 (1.4%),<10,,<10,<10,173 (7.6%),<10,508 (7.4%)
    Lorazepam,,11 (0.7%),,<10,,,,,,17 (0.7%),<10,28 (0.7%)
    Dexmedetomidine,20 (1.1%),192 (12.4%),<10,130 (42.9%),83 (9.2%),<10,,42 (22.1%),<10,60 (2.6%),,527 (7.5%)
    Fentanyl,120 (6.7%),375 (24.2%),<10,203 (67.0%),15 (1.7%),14 (24.6%),,96 (50.5%),<10,122 (5.3%),42 (17.9%),987 (13.5%)
"  Neuromuscular blocking agents, n (%)",,,,,,,,,,,,
    Cisatracurium,,16 (1.0%),,33 (10.9%),<10,<10,,<10,,<10,,
    Rocuronium,,<10,,,60 (6.7%),,,,,<10,,
  First admission location: Missing,,,,,159 (2.9%),,,,,,,159 (2.9%)
Ventilator hours,,,115,,"9,812","2,534",,"5,297",70,,867,"18,695"
  First location at IMV start: Missing,,,,,37 (4.1%),,,,,,,37 (4.1%)
  First admission location: hospice,<10,,,,<10,90 (2.1%),,,,,,
  First admission location: psych,<10,,,,<10,,,,,,,
  First location at IMV start: other,15 (0.8%),,,<10,,,215 (20.7%),,<10,<10,<10,
  Initial ventilator mode: volume support,<10,<10,,,,,,,,,<10,
