Metric,Value__Emory,Value__JHU,Value__MIMIC,Value__NU,Value__OHSU,Value__RUSH,Value__Sunnybrook,Value__UCMC,Value__UCSF,Value__UMN,Value__UPenn,Value__ALL
Total hospitalizations,12228,14855,67,961,5374,3880,9419,5551,4,42460,19081,113880
Total comorbidities across all patients,28462,34683,135,2576,10132,10778,15685,13800,5,95784,47386,259426
Average comorbidities per hospitalization,2.33,2.33,2.01,2.68,1.89,2.78,1.67,2.49,1.25,2.26,2.48,
Most common comorbidity,congestive_heart_failure,congestive_heart_failure,cerebrovascular_disease,chronic_pulmonary_disease,congestive_heart_failure,congestive_heart_failure,metastatic_solid_tumor,congestive_heart_failure,diabetes_uncomplicated,chronic_pulmonary_disease,congestive_heart_failure,
Most common: per 1000 hospitalizations,478.2,459.7,611.9,486.0,343.7,538.9,354.1,599.7,500.0,440.5,509.8,
