value,sunnybrook_probability,ucmc_probability
0.1,0.004592796938534314,
0.2,0.005990084345892962,0.002657779404309442
0.4,0.008201209386659645,
0.5,,0.005339556816784207
0.7,0.011217195910465893,
0.8,,0.007466380290435894
0.9,0.012955577031826437,
1.2,,0.009971172392691406
1.5,,0.01221498615614904
2.5,0.02497464237520907,
2.8,,0.024768944177633256
3.5,0.03822942441931787,
3.6,,0.03729290468891082
4.1,0.050622496028053465,0.048388983714351706
4.5,0.06200425469527465,0.059698045062259834
6.4,0.16004176901971462,0.14754875345346335
7.7,0.2589858745313702,0.23124780643206613
8.8,0.35348678561063257,0.31125416590422994
9.9,0.44781116573264834,0.39330035607044617
11,0.5355829560856803,0.4729887419344194
12.3,0.6341829758332111,
12.6,,0.5840935202378202
13.9,0.724264628881063,
14.5,,0.6853921124546662
16.1,0.8137478719043502,
17.1,,0.7883975630022708
20.2,0.9066031554160595,
21.6,0.9264075351790293,
21.8,,0.8939258041582548
23.3,,0.9162739492622113
23.4,0.9440337024525834,
25.3,,0.9364442751251646
26.3,0.9627609441713367,
28.3,,0.9576525148412681
31.8,0.9814672415392303,
33.8,,0.9789597463410536
438,1.0,
495.9,,1.0
