value,sunnybrook_probability,ucmc_probability
0.01,0.008130255476407262,0.01963370597011698
0.02,,0.025450299478885118
0.03,0.009337118168996484,0.03029385689882587
0.08,,0.06117153545094817
0.1,0.022933961758877405,
0.12,,0.08889225247043052
0.16,0.02838269687393998,
0.17,,0.12392155166821632
0.2,0.046032171103136774,0.14664735009838475
0.31,,0.23776677406102018
0.4,0.1660078910252977,
0.43,,0.3302052024996216
0.5,0.255662078446075,
0.55,,0.4223409085994767
0.6,0.359848606573474,
0.67,,0.5120980820377538
0.7,0.4629853783943013,
0.8,0.5578383589523861,0.6000389214435531
0.89,0.6470247978147929,
0.93,,0.6852120137522434
1,0.7576205523717708,
1.09,,0.7606547451726599
1.16,0.8234766929105743,
1.32,,0.8410059030856055
1.41,0.910895684930284,
1.5,0.9305339831824755,
1.61,0.9466516701480013,
1.74,,0.9190650204337578
1.8,0.9666291753700034,
1.88,,0.9354552727744503
2.09,,0.9518671481393388
2.1,0.9826326031456983,
2.4,,0.9680195472138733
3.1,,0.9839557160464463
41.4,1.0,
47.93,,1.0
