value,sunnybrook_probability,ucmc_probability
0.07,,0.027659853822924418
0.11,,0.04917064204122719
0.15,,0.07297912381285833
0.19,,0.09810057332924854
0.2,0.03205106929093786,
0.22,,0.11621952820692372
0.28,0.04108997975372564,
0.3,0.06226927913674902,
0.4,0.10271388584641597,0.2370125607247582
0.58,,0.3485710534377872
0.6,0.21198844966643432,
0.73,0.284845534571712,
0.78,,0.4631274891680161
0.9,0.4093582779234477,
1,0.47329446343685116,0.5743577399448554
1.13,0.5793901040341347,
1.18,,0.6555210293667119
1.31,0.6825612827803408,
1.42,,0.7367062015843144
1.6,0.8032902961709095,
1.72,,0.8140400017506236
1.97,0.8893019276370865,
2.23,,0.8941747997724189
4,0.9922555234712956,0.9737406451048186
4.29,0.9938081066230026,
4.46,,0.9790362816753468
4.762,0.9953459383908453,
5.14,,0.9842881526543831
5.7,0.9969058972344843,
6.22,,0.9895619064291654
9.2,0.998443729002327,
9.338,,0.9947481290209638
10.674,,0.995798503216771
10.768,0.9987571959094412,
13.054,0.9990669749705894,
13.26,,0.9968488774125782
17.1,0.9993804418777037,
18.424,,0.9978992516083854
26.3,0.9996865330928858,
28.014,,0.9989496258041928
49.68,1.0,
49.9,,1.0
