hour_bin,upenn__median,upenn__q25,upenn__q75,upenn__mean,upenn__std,upenn__count,nu__median,nu__q25,nu__q75,nu__mean,nu__std,nu__count,jhu__median,jhu__q25,jhu__q75,jhu__mean,jhu__std,jhu__count,rush__median,rush__q25,rush__q75,rush__count,ohsu__median,ohsu__q25,ohsu__q75,ohsu__mean,ohsu__std,ohsu__count,ucmc__median,ucmc__q25,ucmc__q75,ucmc__mean,ucmc__std,ucmc__count,umn__median,umn__q25,umn__q75,umn__mean,umn__std,umn__count,emory__median,emory__q25,emory__q75,emory__mean,emory__std,emory__count,umich__median,umich__q25,umich__q75,umich__mean,umich__std,umich__count,mimic_iv__median,mimic_iv__q25,mimic_iv__q75,mimic_iv__mean,mimic_iv__std,mimic_iv__count
21,18.0,15.0,20.0,18.825,4.908848629953349,40,18.0,15.0,22.0,18.291666666666668,5.515270263145196,204,8.0,1.0,14.5,8.387387387387387,7.9603233958645525,111,22.0,19.0,26.0,699,12.0,10.0,15.5,14.191489361702128,6.198310772237237,47,15.0,15.0,20.0,17.285714285714285,5.77945169161142,98,25.0,25.0,27.0,25.509090909090908,5.789110874202075,55,18.0,12.0,24.0,18.646153846153847,7.369391482942203,130,14.0,10.0,18.0,14.411910669975185,6.210972242008919,403,18.0,14.0,23.5,18.333333333333332,5.487954724560283,18
22,20.0,15.0,23.75,20.11315789473684,6.823257962120346,38,18.0,15.0,20.0,17.396135265700483,5.362362953739126,207,7.0,0.0,12.5,8.17687074829932,7.9153922187299255,147,22.0,18.0,25.0,689,12.0,10.0,17.25,13.277777777777779,6.822697879080266,36,15.0,12.0,18.0,15.340909090909092,4.538181223709202,88,25.0,24.25,30.0,25.557142857142857,6.910684259595268,70,16.0,10.0,20.0,17.120567375886523,7.132896804149234,141,14.0,10.0,18.0,14.148541114058355,5.856366261729469,377,15.0,11.0,23.5,17.733333333333334,9.153193561864207,15
23,18.0,15.0,20.0,18.542857142857144,6.523003896360385,35,18.0,15.0,22.0,18.246153846153845,5.722169140014214,195,6.0,0.0,13.0,7.696296296296296,7.813377424470482,135,20.5,18.0,25.25,648,12.0,10.0,17.75,13.391304347826088,6.5267935325414665,46,15.0,12.0,20.0,16.09278350515464,5.509617489420213,97,25.0,25.0,25.0,25.574468085106382,4.707739607382275,47,16.0,12.0,20.0,17.593333333333334,6.58154493874809,150,14.0,10.0,18.0,14.25130890052356,5.930453091698303,382,18.0,15.0,21.0,18.125,6.152235366108808,16
24,18.0,15.0,20.0,18.05217391304348,4.996965262611778,46,18.0,15.0,22.0,18.477678571428573,5.49189716738371,224,8.0,2.0,12.0,8.251968503937007,7.794960219551919,127,22.0,20.0,25.0,695,10.0,10.0,15.0,12.415384615384616,5.083343841939537,65,15.0,12.0,20.0,15.864864864864865,4.766333613789126,111,25.0,24.75,28.0,24.072916666666668,6.064989767278506,96,16.0,12.0,22.0,17.966442953020135,7.572546527461881,149,15.0,10.0,20.0,15.007194244604317,7.094312866057236,417,20.0,15.5,22.0,19.27777777777778,5.4428102122466075,18
25,18.0,15.0,21.0,19.032258064516128,7.026065143296742,31,18.0,14.25,22.0,18.38317757009346,6.232046303041275,214,9.0,0.0,11.0,7.452991452991453,6.923841527021372,117,22.0,18.0,25.0,643,12.0,10.0,16.0,13.982456140350877,6.252117435803465,57,15.0,13.0,20.0,17.147368421052633,5.6549139261140065,95,25.0,23.0,25.0,24.692307692307693,5.0772872829736695,65,16.0,12.0,20.75,16.849056603773583,6.342288084685718,106,14.0,10.0,18.0,14.250666666666667,6.213328207597744,375,16.0,10.0,20.5,16.65,5.760802210218917,20
26,18.0,15.0,22.0,18.78048780487805,6.101279354045147,41,18.0,15.0,20.0,18.17801047120419,5.728942055351406,191,7.0,4.0,14.0,8.617834394904458,7.488054616972164,157,20.0,18.0,25.0,624,12.0,10.0,16.0,13.30188679245283,6.25602757242466,53,15.0,12.0,20.0,16.2680412371134,5.2806949193846755,97,25.0,25.0,28.0,25.607142857142858,5.391144683069526,70,16.0,12.0,22.0,17.17105263157895,6.738027219087097,152,14.0,10.0,18.0,13.982367758186397,6.770941434905297,397,15.0,11.0,20.0,17.25925925925926,8.337093168912203,27
27,16.0,15.0,20.0,17.22222222222222,4.562141088691944,45,16.0,14.0,22.0,17.590697674418603,5.544206960367469,215,5.0,0.0,13.5,7.552631578947368,8.586975221577449,114,20.5,18.0,24.0,660,12.0,10.0,16.0,13.702702702702704,5.616764909451708,37,15.0,15.0,20.0,16.607843137254903,4.609840663780853,102,25.0,25.0,25.0,25.77777777777778,5.167630261127751,54,16.0,12.0,20.0,16.41875,5.430489136730773,160,14.0,10.0,18.0,14.021857923497267,5.813028620619594,366,19.0,14.25,22.0,18.083333333333332,5.615859576937336,12
28,18.0,15.0,21.5,18.86842105263158,4.943852598998669,38,18.0,15.0,20.0,17.869565217391305,5.253606393497702,184,6.0,0.0,13.0,7.223021582733813,7.862996409957789,139,22.0,19.0,25.0,715,12.0,10.0,19.0,14.716417910447761,6.200698812399985,67,15.0,14.5,20.0,16.469565217391306,4.926337629607294,115,25.0,25.0,28.0,25.152941176470588,4.868523493668626,85,18.0,12.0,24.0,18.306569343065693,7.118288421791993,137,14.0,10.0,18.0,14.075916230366492,6.261744540970692,382,20.0,15.5,23.0,19.565217391304348,4.980197942000094,23
29,18.0,15.0,20.0,18.586206896551722,7.409054505802393,29,17.0,15.0,20.0,17.68421052631579,5.950580892271409,209,6.0,0.0,10.0,6.023076923076923,8.01110216518387,130,22.0,18.0,26.0,608,11.5,10.0,15.0,12.857142857142858,6.085537464658831,56,15.0,12.0,20.0,16.693181818181817,5.841504204300552,88,25.0,21.5,28.0,24.5,6.34460150474151,64,16.0,10.0,20.0,16.146341463414632,5.5717126996137525,123,14.0,10.0,18.0,14.23943661971831,6.321572760601728,355,16.0,12.0,19.5,15.909090909090908,5.647663578516685,22
30,18.0,15.0,20.0,18.894736842105264,5.0925991541738735,38,18.0,14.0,20.0,17.90049751243781,6.214503178150591,201,7.0,2.0,12.0,6.965753424657534,7.97877735302384,146,22.0,18.0,25.0,615,12.0,10.0,15.0,12.671052631578947,5.284917300884943,76,15.0,12.0,18.0,15.87037037037037,4.872376058934145,108,25.0,22.625,30.0,25.12878787878788,5.624336272677739,66,16.0,12.0,20.0,16.97029702970297,6.216840750002453,101,14.0,10.0,18.0,13.78491620111732,5.559567559580573,358,16.5,15.0,24.25,19.5625,7.3481857171231955,16
31,18.0,15.0,22.0,18.55,5.252349901442162,40,16.0,15.0,20.0,17.571428571428573,6.151436395774474,203,7.5,2.0,12.25,8.169642857142858,7.29295401395609,112,20.0,18.0,25.0,560,12.0,10.0,15.0,12.689655172413794,5.509821841140885,58,15.0,15.0,18.0,15.92134831460674,4.763079406656627,89,25.0,25.0,25.0,24.865384615384617,3.7365646703148263,52,16.0,10.0,24.0,17.618055555555557,6.91304283421282,144,13.0,10.0,18.0,13.886227544910179,6.250447827008713,334,20.0,15.0,21.0,17.894736842105264,4.581299389209055,19
32,15.0,15.0,20.0,16.682926829268293,3.3048375481273213,41,18.0,15.0,22.0,18.68717948717949,6.186082628963222,195,7.0,0.0,12.0,7.96078431372549,7.38319781037463,153,20.0,18.0,24.0,674,12.0,10.0,15.0,13.32,4.77425066243438,50,15.0,12.0,20.0,16.03030303030303,5.077872255377198,99,25.0,25.0,28.0,25.466233766233767,5.486193445694535,77,15.0,12.0,20.0,16.43448275862069,5.785294807987375,145,14.0,10.0,18.0,14.405172413793103,6.418154790996899,348,18.0,14.5,20.0,18.05263157894737,4.801315609179151,19
33,18.0,15.0,20.0,17.7,6.385881863884358,40,15.0,14.0,20.0,17.398009950248756,5.8711835280376405,201,5.5,0.0,12.0,6.571428571428571,8.123475681188268,126,22.0,20.0,26.0,636,10.0,10.0,15.0,11.790697674418604,5.540148440227605,43,17.0,12.0,20.0,17.043956043956044,5.836498356438821,91,25.0,20.0,26.5,24.516666666666666,6.5107256141384795,60,15.5,12.0,20.0,16.16949152542373,5.6633551179698465,118,13.0,10.0,18.0,13.743523316062177,6.12162630294936,386,16.0,15.0,22.0,17.818181818181817,5.404022872218733,22
34,18.0,15.0,20.0,18.61951219512195,6.724998866624259,41,17.5,15.0,20.0,17.36868686868687,5.062094557850392,198,6.0,0.0,10.0,6.861788617886178,6.636122217537808,123,20.0,18.0,25.25,544,12.0,10.0,15.0,13.195121951219512,5.849014926443266,41,15.0,12.0,18.0,15.854368932038835,5.332857393574461,103,25.0,20.0,30.0,24.732394366197184,6.009415817766727,71,16.0,12.0,20.0,17.383458646616543,6.14437634544087,133,14.0,10.0,18.0,14.088642659279778,6.341477972423362,361,16.0,15.0,22.0,18.19047619047619,7.194574675538838,21
