,Non-Hispanic,Non-Hispanic,Hispanic,Hispanic,Total
,Female,Male,Female,Male,
Asian,6023,7985,64,91,14163
Black or African American,23777,24972,167,185,49101
White,70680,98376,3021,3923,176000
Other,4331,6007,4641,6474,21453
Total,104811,137340,7893,10673,260717
