sofa_score,total_encounters__Emory,total_encounters__JHU,total_encounters__MIMIC,total_encounters__Michigan,total_encounters__NU,total_encounters__OHSU,total_encounters__RUSH,total_encounters__Sunnybrook,total_encounters__UCMC,total_encounters__UCSF,total_encounters__UMN,total_encounters__UPenn,total_encounters__ALL,n_encounters__Emory,n_encounters__JHU,n_encounters__MIMIC,n_encounters__Michigan,n_encounters__NU,n_encounters__OHSU,n_encounters__RUSH,n_encounters__Sunnybrook,n_encounters__UCMC,n_encounters__UCSF,n_encounters__UMN,n_encounters__UPenn,n_encounters__ALL,n_deaths__Emory,n_deaths__JHU,n_deaths__MIMIC,n_deaths__Michigan,n_deaths__NU,n_deaths__OHSU,n_deaths__RUSH,n_deaths__Sunnybrook,n_deaths__UCMC,n_deaths__UCSF,n_deaths__UMN,n_deaths__UPenn,n_deaths__ALL,mortality_rate_percent__Emory,mortality_rate_percent__JHU,mortality_rate_percent__MIMIC,mortality_rate_percent__Michigan,mortality_rate_percent__NU,mortality_rate_percent__OHSU,mortality_rate_percent__RUSH,mortality_rate_percent__Sunnybrook,mortality_rate_percent__UCMC,mortality_rate_percent__UCSF,mortality_rate_percent__UMN,mortality_rate_percent__UPenn,mortality_rate_percent__ALL,ci_lower_95__Emory,ci_lower_95__JHU,ci_lower_95__MIMIC,ci_lower_95__Michigan,ci_lower_95__NU,ci_lower_95__OHSU,ci_lower_95__RUSH,ci_lower_95__Sunnybrook,ci_lower_95__UCMC,ci_lower_95__UCSF,ci_lower_95__UMN,ci_lower_95__UPenn,ci_lower_95__ALL,ci_upper_95__Emory,ci_upper_95__JHU,ci_upper_95__MIMIC,ci_upper_95__Michigan,ci_upper_95__NU,ci_upper_95__OHSU,ci_upper_95__RUSH,ci_upper_95__Sunnybrook,ci_upper_95__UCMC,ci_upper_95__UCSF,ci_upper_95__UMN,ci_upper_95__UPenn,ci_upper_95__ALL,ci_margin_95__Emory,ci_margin_95__JHU,ci_margin_95__MIMIC,ci_margin_95__Michigan,ci_margin_95__NU,ci_margin_95__OHSU,ci_margin_95__RUSH,ci_margin_95__Sunnybrook,ci_margin_95__UCMC,ci_margin_95__UCSF,ci_margin_95__UMN,ci_margin_95__UPenn,ci_margin_95__ALL
22.0,28853.0,41772.0,27020.0,,57829.0,27688.0,15016.0,,18488.0,27227.0,54554.0,,298447,10.0,12.0,5.0,,12.0,6.0,1.0,,6.0,9.0,10.0,,71.0,9.0,12.0,5.0,,12.0,6.0,0.0,,6.0,7.0,9.0,,66.0,90.0,100.0,100.0,,100.0,100.0,0.0,,100.0,77.78,90.0,,92.958028,70.69,87.88,78.28,,87.88,80.48,0.0,,80.48,53.57,70.69,,75.524085,100.0,100.0,100.0,,100.0,100.0,39.67,,100.0,100.0,100.0,,99.150282,19.31,12.12,21.72,,12.12,19.52,39.67,,19.52,24.21,19.31,,17.992676
23.0,28853.0,41772.0,,,57829.0,,,,18488.0,27227.0,54554.0,,228723,2.0,2.0,,,1.0,,,,1.0,2.0,1.0,,9.0,2.0,2.0,,,1.0,,,,1.0,2.0,1.0,,9.0,100.0,100.0,,,100.0,,,,100.0,100.0,100.0,,100.0,67.12,67.12,,,60.33,,,,60.33,67.12,60.33,,64.856667,100.0,100.0,,,100.0,,,,100.0,100.0,100.0,,100.0,32.88,32.88,,,39.67,,,,39.67,32.88,39.67,,35.143333
0,,,,5917.0,,,,,,,,,5917,,,,61.0,,,,,,,,,61.0,,,,12.0,,,,,,,,,12.0,,,,19.67,,,,,,,,,19.67,,,,9.83,,,,,,,,,9.83,,,,29.51,,,,,,,,,29.51,,,,9.84,,,,,,,,,9.84
1,,,,5917.0,,,,,,,,,5917,,,,129.0,,,,,,,,,129.0,,,,24.0,,,,,,,,,24.0,,,,18.6,,,,,,,,,18.6,,,,11.93,,,,,,,,,11.93,,,,25.28,,,,,,,,,25.28,,,,6.68,,,,,,,,,6.68
2,,,,5917.0,,,,,,,,,5917,,,,120.0,,,,,,,,,120.0,,,,27.0,,,,,,,,,27.0,,,,22.5,,,,,,,,,22.5,,,,15.1,,,,,,,,,15.1,,,,29.9,,,,,,,,,29.9,,,,7.4,,,,,,,,,7.4
3,,,,5917.0,,,,,,,,,5917,,,,231.0,,,,,,,,,231.0,,,,42.0,,,,,,,,,42.0,,,,18.18,,,,,,,,,18.18,,,,13.22,,,,,,,,,13.22,,,,23.14,,,,,,,,,23.14,,,,4.96,,,,,,,,,4.96
4,,,,5917.0,,,,,,,,,5917,,,,261.0,,,,,,,,,261.0,,,,58.0,,,,,,,,,58.0,,,,22.22,,,,,,,,,22.22,,,,17.2,,,,,,,,,17.2,,,,27.25,,,,,,,,,27.25,,,,5.02,,,,,,,,,5.02
5,,,,5917.0,,,,,,,,,5917,,,,272.0,,,,,,,,,272.0,,,,59.0,,,,,,,,,59.0,,,,21.69,,,,,,,,,21.69,,,,16.81,,,,,,,,,16.81,,,,26.57,,,,,,,,,26.57,,,,4.88,,,,,,,,,4.88
6,,,,5917.0,,,,,,,,,5917,,,,315.0,,,,,,,,,315.0,,,,72.0,,,,,,,,,72.0,,,,22.86,,,,,,,,,22.86,,,,18.24,,,,,,,,,18.24,,,,27.48,,,,,,,,,27.48,,,,4.62,,,,,,,,,4.62
7,,,,5917.0,,,,,,,,,5917,,,,373.0,,,,,,,,,373.0,,,,79.0,,,,,,,,,79.0,,,,21.18,,,,,,,,,21.18,,,,17.04,,,,,,,,,17.04,,,,25.32,,,,,,,,,25.32,,,,4.14,,,,,,,,,4.14
