,Non-Hispanic,Non-Hispanic,Non-Hispanic,Hispanic,Hispanic,Hispanic,Unknown,Unknown,Unknown,Total
,Female,Male,Unknown,Female,Male,Unknown,Female,Male,Unknown,Unnamed: 10_level_1
American Indian or Alaska Native,0,0,0,0,0,0,0,0,0,0
Asian,29,17,0,0,0,0,0,0,0,46
Native Hawaiian or Other Pacific Islander,0,0,0,0,0,0,0,0,0,0
Black or African American,198,221,0,0,0,0,0,0,0,419
White,368,390,0,0,0,0,14,17,0,789
Other,0,0,0,16,0,0,0,0,0,16
Unknown,0,0,0,0,0,0,0,0,0,0
Total,595,628,0,16,0,0,14,17,0,1864
